Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
26	88	Dayside	2024 DEC 23 17:57:54	2024 DEC 23 18:27:26	2024 DEC 23 18:56:59	3544.77	-154.96	-112.35	10.63	-70.93	13.41	70.89	15.57	11.00	1	-		COP row -1: 	&daysideMatch:PAVONIS MONS; 	
27	88	Nightside	2024 DEC 23 18:56:59	2024 DEC 23 19:26:23	2024 DEC 23 19:55:48	3528.73	10.63	52.81	176.28	70.89	-11.94	-70.85	164.35	22.97	1	-	-	-		
27	88	Dayside	2024 DEC 23 19:55:48	2024 DEC 23 20:25:21	2024 DEC 23 20:54:55	3546.99	176.28	-141.24	-18.20	-70.85	13.49	70.78	15.77	10.99	1	-		COP row -1: 		
28	88	Nightside	2024 DEC 23 20:54:55	2024 DEC 23 21:24:20	2024 DEC 23 21:53:45	3530.13	-18.20	23.90	147.44	70.78	-12.04	-70.73	164.14	22.96	14	-	-	-		
28	88	Dayside	2024 DEC 23 21:53:45	2024 DEC 23 22:23:19	2024 DEC 23 22:52:53	3547.98	147.44	-170.17	-46.99	-70.73	13.61	70.69	16.00	10.98	14	-		COP row -1: 		
29	88	Nightside	2024 DEC 23 22:52:53	2024 DEC 23 23:22:18	2024 DEC 23 23:51:44	3531.59	-46.99	-5.04	118.64	70.69	-12.10	-70.65	163.91	22.94	1	-	-	-		
29	88	Dayside	2024 DEC 23 23:51:44	2024 DEC 24 00:21:18	2024 DEC 24 00:50:51	3546.95	118.64	160.90	-75.74	-70.65	13.71	70.64	16.23	10.96	1	-		COP row -1: 		
30	88	Nightside	2024 DEC 24 00:50:51	2024 DEC 24 01:20:17	2024 DEC 24 01:49:44	3532.52	-75.74	-33.99	89.92	70.64	-12.19	-70.61	163.68	22.93	14	-	-	-		
30	88	Dayside	2024 DEC 24 01:49:44	2024 DEC 24 02:19:16	2024 DEC 24 02:48:49	3544.90	89.92	131.95	-104.44	-70.61	13.78	70.60	16.46	10.95	14	-		COP row -1: 		
31	88	Nightside	2024 DEC 24 02:48:49	2024 DEC 24 03:18:15	2024 DEC 24 03:47:40	3531.87	-104.44	-62.93	61.25	70.60	-12.28	-70.60	163.44	22.91	1	-	-	-		
