Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
643	Egress	2018 APR 20 05:13:53	2018 APR 20 05:18:10	2018 APR 20 05:14:57	257.0	-137.0	76.7	3.7	
644	Ingress	2018 APR 20 06:27:05	2018 APR 20 06:31:39	2018 APR 20 06:30:34	274.0	36.9	-71.0	16.5	
645	Egress	2018 APR 20 07:11:48	2018 APR 20 07:16:05	2018 APR 20 07:12:51	257.0	-166.1	76.8	3.7	
646	Ingress	2018 APR 20 08:24:59	2018 APR 20 08:29:33	2018 APR 20 08:28:28	274.0	8.2	-71.0	16.5	
647	Egress	2018 APR 20 09:09:41	2018 APR 20 09:13:58	2018 APR 20 09:10:44	257.0	164.8	77.0	3.7	
648	Ingress	2018 APR 20 10:22:49	2018 APR 20 10:27:23	2018 APR 20 10:26:18	274.0	-20.5	-71.1	16.5	
649	Egress	2018 APR 20 11:07:31	2018 APR 20 11:11:48	2018 APR 20 11:08:34	257.0	135.7	77.2	3.7	
650	Ingress	2018 APR 20 12:20:38	2018 APR 20 12:25:13	2018 APR 20 12:24:08	275.0	-49.0	-71.0	16.5	
651	Egress	2018 APR 20 13:05:19	2018 APR 20 13:09:37	2018 APR 20 13:06:23	258.0	106.7	77.3	3.6	
652	Ingress	2018 APR 20 14:18:32	2018 APR 20 14:23:07	2018 APR 20 14:22:02	275.0	-77.6	-71.0	16.5	
653	Egress	2018 APR 20 15:03:13	2018 APR 20 15:07:31	2018 APR 20 15:04:16	258.0	77.9	77.4	3.6	
654	Ingress	2018 APR 20 16:16:29	2018 APR 20 16:21:03	2018 APR 20 16:19:58	274.0	-106.1	-70.9	16.5	
655	Egress	2018 APR 20 17:01:08	2018 APR 20 17:05:26	2018 APR 20 17:02:12	258.0	48.8	77.5	3.6	
656	Ingress	2018 APR 20 18:14:23	2018 APR 20 18:18:58	2018 APR 20 18:17:53	275.0	-134.7	-70.9	16.5	
657	Egress	2018 APR 20 18:59:02	2018 APR 20 19:03:20	2018 APR 20 19:00:06	258.0	19.6	77.7	3.6	
658	Ingress	2018 APR 20 20:12:15	2018 APR 20 20:16:50	2018 APR 20 20:15:45	275.0	-163.3	-70.8	16.5	
659	Egress	2018 APR 20 20:56:54	2018 APR 20 21:01:12	2018 APR 20 20:57:57	258.0	-9.6	77.8	3.5	
