Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
104,4,199,2018 APR 10 03:48:46,2018 APR 10 05:47:17,7111,2018 APR 10 03:46:46,2018 APR 10 04:46:49,3603,2018 APR 10 04:46:50,2018 APR 10 05:45:17,3507,41.0057,2018 APR 10 05:14:45
104,4,200,2018 APR 10 05:47:18,2018 APR 10 07:45:45,7107,2018 APR 10 05:45:18,2018 APR 10 06:45:17,3599,2018 APR 10 06:45:18,2018 APR 10 07:43:45,3507,40.8091,2018 APR 10 07:13:13
104,4,201,2018 APR 10 07:45:46,2018 APR 10 09:44:11,7105,2018 APR 10 07:43:46,2018 APR 10 08:43:43,3597,2018 APR 10 08:43:44,2018 APR 10 09:42:11,3507,40.6034,2018 APR 10 09:11:39
104,4,202,2018 APR 10 09:44:12,2018 APR 10 11:41:25,7033,2018 APR 10 09:42:12,2018 APR 10 10:42:09,3597,2018 APR 10 10:42:10,2018 APR 10 11:39:25,3435,40.3619,2018 APR 10 11:10:05
104,4,203,2018 APR 10 11:41:26,2018 APR 10 13:36:54,6928,2018 APR 10 11:39:26,2018 APR 10 12:37:34,3488,2018 APR 10 12:37:35,2018 APR 10 13:34:54,3439,40.0972,2018 APR 10 13:05:32
104,4,204,2018 APR 10 13:36:55,2018 APR 10 15:32:23,6928,2018 APR 10 13:34:55,2018 APR 10 14:33:03,3488,2018 APR 10 14:33:04,2018 APR 10 15:30:23,3439,39.8492,2018 APR 10 15:01:01
12,12,205,2018 APR 10 15:32:24,2018 APR 10 17:27:52,6928,2018 APR 10 15:30:24,2018 APR 10 16:28:32,3488,2018 APR 10 16:28:33,2018 APR 10 17:25:52,3439,39.6274,2018 APR 10 16:56:31
103,3,206,2018 APR 10 17:27:53,2018 APR 10 19:23:19,6926,2018 APR 10 17:25:53,2018 APR 10 18:23:59,3486,2018 APR 10 18:24:00,2018 APR 10 19:21:19,3439,39.429,2018 APR 10 18:51:58
103,3,207,2018 APR 10 19:23:20,2018 APR 10 21:18:43,6923,2018 APR 10 19:21:20,2018 APR 10 20:19:23,3483,2018 APR 10 20:19:24,2018 APR 10 21:16:43,3439,39.2254,2018 APR 10 20:47:22
12,12,208,2018 APR 10 21:18:44,2018 APR 10 23:14:07,6923,2018 APR 10 21:16:44,2018 APR 10 22:14:47,3483,2018 APR 10 22:14:48,2018 APR 10 23:12:07,3439,38.9775,2018 APR 10 22:42:45
