Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
NOMAD	210	Egress	2019 FEB 12 18:19:50	2019 FEB 12 18:20:29	2019 FEB 12 18:23:34	224.0	92.1	92.6	95.3	59.1	60.2	64.9	7.0	1	AER 01	Science: orders #119, #133, #143, #154, #169, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
ACS	211	Ingress	2019 FEB 12 19:34:42	2019 FEB 12 19:38:04	2019 FEB 12 19:38:45	243.0	-66.9	-36.6	-28.7	-79.5	-81.5	-81.5	23.6	4	-	-	-		
N/A	211	Egress	2019 FEB 12 20:17:46	2019 FEB 12 20:18:25	2019 FEB 12 20:21:30	224.0	63.5	64.0	66.7	59.3	60.3	65.0	7.0	4	-	-	-		
N/A	212	Ingress	2019 FEB 12 21:32:35	2019 FEB 12 21:35:56	2019 FEB 12 21:36:37	242.0	-96.1	-66.5	-58.7	-79.5	-81.5	-81.6	23.6	1	-	-	-		
NOMAD	212	Egress	2019 FEB 12 22:15:42	2019 FEB 12 22:16:21	2019 FEB 12 22:19:25	223.0	34.9	35.4	38.0	59.5	60.5	65.1	7.0	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
NOMAD	213	Ingress	2019 FEB 12 23:30:25	2019 FEB 12 23:33:46	2019 FEB 12 23:34:27	242.0	-125.3	-96.3	-88.6	-79.4	-81.5	-81.6	23.5	1	Nominal Science 1xCO2 HA02; Nominal Science 1xCO2 LA02	Science: orders #168, #134, #190, #119, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	213	Egress	2019 FEB 13 00:13:36	2019 FEB 13 00:14:15	2019 FEB 13 00:17:18	222.0	6.3	6.8	9.4	59.7	60.7	65.2	7.0	1	-	-	-		
N/A	214	Ingress	2019 FEB 13 01:28:14	2019 FEB 13 01:31:35	2019 FEB 13 01:32:16	242.0	-154.5	-126.0	-118.4	-79.4	-81.5	-81.6	23.4	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	214	Egress	2019 FEB 13 02:11:28	2019 FEB 13 02:12:07	2019 FEB 13 02:15:10	222.0	-22.3	-21.8	-19.2	59.9	60.9	65.4	7.0	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	215	Ingress	2019 FEB 13 03:26:03	2019 FEB 13 03:29:23	2019 FEB 13 03:30:04	241.0	176.5	-155.6	-148.0	-79.4	-81.5	-81.6	23.4	17	-	-	-		
