Orbit Index	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
6	2018 NOV 03 23:48:15	2018 NOV 04 00:17:48	2018 NOV 04 00:47:21	3545.9	-10.2	26.3	155.3	-64.1	20.1	64.1	156.9	1.6	1	-	-	-		
6	2018 NOV 04 00:47:21	2018 NOV 04 01:16:44	2018 NOV 04 01:46:08	3527.5	155.3	-168.7	-39.1	64.1	-18.8	-64.1	22.9	13.6	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
7	2018 NOV 04 01:46:08	2018 NOV 04 02:15:41	2018 NOV 04 02:45:15	3546.4	-39.1	-2.7	126.3	-64.1	20.1	64.1	157.2	1.6	4	-	-	-		
7	2018 NOV 04 02:45:15	2018 NOV 04 03:14:38	2018 NOV 04 03:44:02	3527.0	126.3	162.4	-68.0	64.1	-18.8	-64.1	22.7	13.6	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
8	2018 NOV 04 03:44:02	2018 NOV 04 04:13:35	2018 NOV 04 04:43:09	3547.2	-68.0	-31.7	97.5	-64.1	20.1	64.0	157.5	1.6	1	-	-	-		
8	2018 NOV 04 04:43:09	2018 NOV 04 05:12:31	2018 NOV 04 05:41:54	3524.9	97.5	133.4	-96.9	64.0	-18.8	-64.0	22.4	13.6	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
9	2018 NOV 04 05:41:54	2018 NOV 04 06:11:27	2018 NOV 04 06:41:01	3547.3	-96.9	-60.6	68.7	-64.0	20.2	64.0	157.8	1.6	4	-	-	-		
9	2018 NOV 04 06:41:01	2018 NOV 04 07:10:23	2018 NOV 04 07:39:44	3523.3	68.7	104.4	-125.7	64.0	-18.9	-64.0	22.1	13.5	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
10	2018 NOV 04 07:39:44	2018 NOV 04 08:09:17	2018 NOV 04 08:38:50	3546.0	-125.7	-89.6	39.9	-64.0	20.3	64.0	158.0	1.6	1	-	-	-		
10	2018 NOV 04 08:38:50	2018 NOV 04 09:08:12	2018 NOV 04 09:37:33	3522.6	39.9	75.5	-154.5	64.0	-18.9	-64.0	21.8	13.5	1	CH4 3SUBD 01	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:NILI FOSSAE; 	
11	2018 NOV 04 09:37:33	2018 NOV 04 10:07:06	2018 NOV 04 10:36:39	3545.7	-154.5	-118.5	10.9	-64.0	20.3	64.0	158.3	1.5	4	-	-	-		
11	2018 NOV 04 10:36:39	2018 NOV 04 11:06:00	2018 NOV 04 11:35:22	3523.6	10.9	46.6	176.5	64.0	-19.0	-64.0	21.6	13.5	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
12	2018 NOV 04 11:35:22	2018 NOV 04 12:04:56	2018 NOV 04 12:34:30	3547.7	176.5	-147.4	-18.1	-64.0	20.3	63.9	158.5	1.5	1	-	-	-		
12	2018 NOV 04 12:34:30	2018 NOV 04 13:03:52	2018 NOV 04 13:33:15	3524.9	-18.1	17.7	147.5	63.9	-19.0	-63.9	21.4	13.5	1	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
13	2018 NOV 04 13:33:15	2018 NOV 04 14:02:49	2018 NOV 04 14:32:23	3548.4	147.5	-176.4	-47.1	-63.9	20.4	63.9	158.8	1.5	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
13	2018 NOV 04 14:32:23	2018 NOV 04 15:01:46	2018 NOV 04 15:31:10	3526.4	-47.1	-11.3	118.5	63.9	-19.0	-63.9	21.1	13.5	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
14	2018 NOV 04 15:31:10	2018 NOV 04 16:00:43	2018 NOV 04 16:30:17	3547.2	118.5	154.7	-75.9	-63.9	20.4	63.9	159.0	1.5	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
14	2018 NOV 04 16:30:17	2018 NOV 04 16:59:41	2018 NOV 04 17:29:04	3527.4	-75.9	-40.3	89.7	63.9	-19.0	-63.9	20.8	13.4	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
15	2018 NOV 04 17:29:04	2018 NOV 04 17:58:37	2018 NOV 04 18:28:09	3545.0	89.7	125.7	-104.7	-63.9	20.4	63.8	159.3	1.5	1	-	-	-		
15	2018 NOV 04 18:28:09	2018 NOV 04 18:57:33	2018 NOV 04 19:26:56	3526.7	-104.7	-69.2	60.9	63.8	-19.1	-63.8	20.5	13.4	1	Nominal 6SUBD 01	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
16	2018 NOV 04 19:26:56	2018 NOV 04 19:56:28	2018 NOV 04 20:26:00	3543.7	60.9	96.8	-133.5	-63.8	20.5	63.8	159.6	1.4	1	-	-	-		
16	2018 NOV 04 20:26:00	2018 NOV 04 20:55:22	2018 NOV 04 21:24:44	3524.3	-133.5	-98.2	32.1	63.8	-19.2	-63.8	20.3	13.4	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
17	2018 NOV 04 21:24:44	2018 NOV 04 21:54:16	2018 NOV 04 22:23:48	3544.5	32.1	67.8	-162.4	-63.8	20.6	63.8	159.9	1.4	4	-	-	-		
17	2018 NOV 04 22:23:48	2018 NOV 04 22:53:11	2018 NOV 04 23:22:33	3524.2	-162.4	-127.1	3.1	63.8	-19.2	-63.8	20.0	13.4	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
18	2018 NOV 04 23:22:33	2018 NOV 04 23:52:06	2018 NOV 05 00:21:39	3546.3	3.1	38.9	168.6	-63.8	20.6	63.7	160.1	1.4	1	-	-	-		
18	2018 NOV 05 00:21:39	2018 NOV 05 00:51:02	2018 NOV 05 01:20:25	3526.5	168.6	-156.0	-25.9	63.7	-19.2	-63.7	19.8	13.4	1	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
19	2018 NOV 05 01:20:25	2018 NOV 05 01:49:59	2018 NOV 05 02:19:32	3546.9	-25.9	10.0	139.6	-63.7	20.6	63.7	160.3	1.4	4	-	-	-		
19	2018 NOV 05 02:19:32	2018 NOV 05 02:48:56	2018 NOV 05 03:18:19	3526.9	139.6	175.0	-54.8	63.7	-19.3	-63.7	19.5	13.4	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
20	2018 NOV 05 03:18:19	2018 NOV 05 03:47:53	2018 NOV 05 04:17:27	3547.5	-54.8	-19.0	110.7	-63.7	20.6	63.7	160.6	1.4	4	-	-	-		
20	2018 NOV 05 04:17:27	2018 NOV 05 04:46:49	2018 NOV 05 05:16:12	3525.4	110.7	146.1	-83.7	63.7	-19.3	-63.7	19.2	13.3	4	-		3x COP rows 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
21	2018 NOV 05 05:16:12	2018 NOV 05 05:45:46	2018 NOV 05 06:15:20	3548.0	-83.7	-48.0	81.8	-63.7	20.7	63.7	160.9	1.4	1	-	-	-		
21	2018 NOV 05 06:15:20	2018 NOV 05 06:44:42	2018 NOV 05 07:14:03	3523.4	81.8	117.1	-112.5	63.7	-19.3	-63.6	18.9	13.3	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
22	2018 NOV 05 07:14:03	2018 NOV 05 07:43:37	2018 NOV 05 08:13:11	3547.4	-112.5	-76.9	53.1	-63.6	20.8	63.6	161.2	1.3	1	-	-	-		
22	2018 NOV 05 08:13:11	2018 NOV 05 08:42:32	2018 NOV 05 09:11:53	3522.2	53.1	88.2	-141.3	63.6	-19.4	-63.6	18.7	13.3	1	Surface 3SUBD 01	Science: orders #168, #190, #191, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:NILI FOSSAE; 	
23	2018 NOV 05 09:11:53	2018 NOV 05 09:41:26	2018 NOV 05 10:10:59	3546.0	-141.3	-105.8	24.2	-63.6	20.8	63.6	161.4	1.3	4	-	-	-		
23	2018 NOV 05 10:10:59	2018 NOV 05 10:40:20	2018 NOV 05 11:09:42	3522.7	24.2	59.3	-170.2	63.6	-19.5	-63.6	18.4	13.3	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
24	2018 NOV 05 11:09:42	2018 NOV 05 11:39:15	2018 NOV 05 12:08:49	3547.2	-170.2	-134.7	-4.8	-63.6	20.8	63.5	161.7	1.3	1	-	-	-		
24	2018 NOV 05 12:08:49	2018 NOV 05 12:38:11	2018 NOV 05 13:07:33	3523.9	-4.8	30.3	160.7	63.5	-19.5	-63.5	18.2	13.3	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
25	2018 NOV 05 13:07:33	2018 NOV 05 13:37:07	2018 NOV 05 14:06:42	3549.0	160.7	-163.7	-33.8	-63.5	20.8	63.5	161.9	1.3	4	-	-	-		
25	2018 NOV 05 14:06:42	2018 NOV 05 14:36:04	2018 NOV 05 15:05:27	3525.3	-33.8	1.4	131.8	63.5	-19.5	-63.5	17.9	13.2	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MERIDIANI SULPHATES; 	
26	2018 NOV 05 15:05:27	2018 NOV 05 15:35:01	2018 NOV 05 16:04:36	3548.6	131.8	167.4	-62.7	-63.5	20.9	63.5	162.2	1.3	3	-	-	-		
26	2018 NOV 05 16:04:36	2018 NOV 05 16:33:59	2018 NOV 05 17:03:22	3526.7	-62.7	-27.6	102.9	63.5	-19.5	-63.4	17.6	13.2	3	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
27	2018 NOV 05 17:03:22	2018 NOV 05 17:32:56	2018 NOV 05 18:02:29	3546.5	102.9	138.4	-91.6	-63.4	20.9	63.4	162.5	1.2	1	-	-	-		
27	2018 NOV 05 18:02:29	2018 NOV 05 18:31:52	2018 NOV 05 19:01:16	3526.7	-91.6	-56.6	74.1	63.4	-19.6	-63.4	17.4	13.2	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
28	2018 NOV 05 19:01:16	2018 NOV 05 19:30:48	2018 NOV 05 20:00:20	3544.7	74.1	109.4	-120.4	-63.4	21.0	63.4	162.8	1.2	4	-	-	-		
28	2018 NOV 05 20:00:20	2018 NOV 05 20:29:43	2018 NOV 05 20:59:05	3525.0	-120.4	-85.5	45.3	63.4	-19.7	-63.4	17.1	13.2	4	-		3x COP rows 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
29	2018 NOV 05 20:59:05	2018 NOV 05 21:28:38	2018 NOV 05 21:58:10	3544.6	45.3	80.5	-149.2	-63.4	21.0	63.4	163.0	1.2	1	-	-	-		
29	2018 NOV 05 21:58:10	2018 NOV 05 22:27:32	2018 NOV 05 22:56:54	3523.7	-149.2	-114.4	16.4	63.4	-19.7	-63.4	16.8	13.2	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
30	2018 NOV 05 22:56:54	2018 NOV 05 23:26:27	2018 NOV 05 23:55:59	3545.8	16.4	51.6	-178.1	-63.4	21.1	63.3	163.3	1.2	1	-	-	-		
30	2018 NOV 05 23:55:59	2018 NOV 06 00:25:22	2018 NOV 06 00:54:45	3525.9	-178.1	-143.3	-12.6	63.3	-19.7	-63.3	16.6	13.2	1	CH4 3SUBD 01	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
31	2018 NOV 06 00:54:45	2018 NOV 06 01:24:19	2018 NOV 06 01:53:52	3546.6	-12.6	22.7	152.8	-63.3	21.1	63.3	163.5	1.2	4	-	-	-		
31	2018 NOV 06 01:53:52	2018 NOV 06 02:23:16	2018 NOV 06 02:52:39	3527.2	152.8	-172.3	-41.6	63.3	-19.8	-63.3	16.3	13.1	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
32	2018 NOV 06 02:52:39	2018 NOV 06 03:22:13	2018 NOV 06 03:51:46	3547.2	-41.6	-6.3	123.9	-63.3	21.1	63.2	163.8	1.2	4	-	-	-		
32	2018 NOV 06 03:51:46	2018 NOV 06 04:21:10	2018 NOV 06 04:50:33	3526.4	123.9	158.8	-70.4	63.2	-19.8	-63.2	16.1	13.1	4	-		3x COP rows 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
33	2018 NOV 06 04:50:33	2018 NOV 06 05:20:07	2018 NOV 06 05:49:41	3547.9	-70.4	-35.3	95.1	-63.2	21.2	63.2	164.1	1.1	1	-	-	-		
33	2018 NOV 06 05:49:41	2018 NOV 06 06:19:03	2018 NOV 06 06:48:25	3524.2	95.1	129.8	-99.3	63.2	-19.9	-63.2	15.8	13.1	1	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
34	2018 NOV 06 06:48:25	2018 NOV 06 07:17:59	2018 NOV 06 07:47:33	3547.9	-99.3	-64.2	66.3	-63.2	21.3	63.2	164.4	1.1	4	-	-	-		
34	2018 NOV 06 07:47:33	2018 NOV 06 08:16:54	2018 NOV 06 08:46:15	3522.7	66.3	100.8	-128.1	63.2	-19.9	-63.2	15.5	13.1	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
35	2018 NOV 06 08:46:15	2018 NOV 06 09:15:49	2018 NOV 06 09:45:22	3546.4	-128.1	-93.2	37.5	-63.2	21.3	63.2	164.6	1.1	1	-	-	-		
35	2018 NOV 06 09:45:22	2018 NOV 06 10:14:43	2018 NOV 06 10:44:04	3522.3	37.5	71.9	-156.9	63.2	-20.0	-63.2	15.3	13.1	1	Nominal 6SUBD 01	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
36	2018 NOV 06 10:44:04	2018 NOV 06 11:13:37	2018 NOV 06 11:43:11	3546.8	-156.9	-122.1	8.5	-63.2	21.3	63.1	164.8	1.1	1	-	-	-		
36	2018 NOV 06 11:43:11	2018 NOV 06 12:12:32	2018 NOV 06 12:41:54	3523.2	8.5	43.0	174.1	63.1	-20.0	-63.1	15.0	13.0	1	-		COP row -1: UVIS off		
37	2018 NOV 06 12:41:54	2018 NOV 06 13:11:28	2018 NOV 06 13:41:03	3548.8	174.1	-151.0	-20.5	-63.1	21.4	63.1	165.1	1.1	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
37	2018 NOV 06 13:41:03	2018 NOV 06 14:10:25	2018 NOV 06 14:39:47	3524.6	-20.5	14.1	145.1	63.1	-20.0	-63.0	14.8	13.0	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
38	2018 NOV 06 14:39:47	2018 NOV 06 15:09:22	2018 NOV 06 15:38:57	3549.1	145.1	-180.0	-49.4	-63.0	21.4	63.0	165.4	1.0	4	-	-	-		
38	2018 NOV 06 15:38:57	2018 NOV 06 16:08:20	2018 NOV 06 16:37:43	3526.0	-49.4	-14.9	116.2	63.0	-20.1	-63.0	14.5	13.0	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
39	2018 NOV 06 16:37:43	2018 NOV 06 17:07:16	2018 NOV 06 17:36:50	3547.7	116.2	151.1	-78.3	-63.0	21.5	63.0	165.6	1.0	1	-	-	-		
39	2018 NOV 06 17:36:50	2018 NOV 06 18:06:14	2018 NOV 06 18:35:37	3526.7	-78.3	-43.9	87.4	63.0	-20.1	-63.0	14.2	13.0	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
40	2018 NOV 06 18:35:37	2018 NOV 06 19:05:10	2018 NOV 06 19:34:42	3545.5	87.4	122.1	-107.1	-63.0	21.5	63.0	165.9	1.0	4	-	-	-		
40	2018 NOV 06 19:34:42	2018 NOV 06 20:04:05	2018 NOV 06 20:33:28	3525.7	-107.1	-72.8	58.6	63.0	-20.2	-63.0	13.9	13.0	4	-		3x COP rows -1: UVIS off		
41	2018 NOV 06 20:33:28	2018 NOV 06 21:03:00	2018 NOV 06 21:32:33	3544.4	58.6	93.2	-135.9	-63.0	21.6	62.9	166.2	1.0	3	-	-	-		
41	2018 NOV 06 21:32:33	2018 NOV 06 22:01:54	2018 NOV 06 22:31:16	3523.5	-135.9	-101.7	29.7	62.9	-20.3	-62.9	13.7	12.9	3	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
42	2018 NOV 06 22:31:16	2018 NOV 06 23:00:49	2018 NOV 06 23:30:22	3545.5	29.7	64.3	-164.8	-62.9	21.7	62.9	166.4	1.0	4	-	-	-		
42	2018 NOV 06 23:30:22	2018 NOV 06 23:59:44	2018 NOV 07 00:29:06	3524.3	-164.8	-130.6	0.8	62.9	-20.3	-62.9	13.4	12.9	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
43	2018 NOV 07 00:29:06	2018 NOV 07 00:58:39	2018 NOV 07 01:28:13	3547.1	0.8	35.4	166.2	-62.9	21.7	62.8	166.7	1.0	1	-	-	-		
43	2018 NOV 07 01:28:13	2018 NOV 07 01:57:36	2018 NOV 07 02:26:59	3526.3	166.2	-159.6	-28.2	62.8	-20.3	-62.8	13.2	12.9	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
44	2018 NOV 07 02:26:59	2018 NOV 07 02:56:33	2018 NOV 07 03:26:07	3547.6	-28.2	6.4	137.3	-62.8	21.7	62.8	166.9	0.9	4	-	-	-		
44	2018 NOV 07 03:26:07	2018 NOV 07 03:55:30	2018 NOV 07 04:24:53	3526.4	137.3	171.5	-57.1	62.8	-20.4	-62.8	12.9	12.9	4	-		3x COP rows 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
45	2018 NOV 07 04:24:53	2018 NOV 07 04:54:27	2018 NOV 07 05:24:02	3548.3	-57.1	-22.6	108.4	-62.8	21.7	62.7	167.2	0.9	1	-	-	-		
45	2018 NOV 07 05:24:02	2018 NOV 07 05:53:24	2018 NOV 07 06:22:46	3524.7	108.4	142.5	-86.0	62.7	-20.5	-62.7	12.6	12.9	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
46	2018 NOV 07 06:22:46	2018 NOV 07 06:52:21	2018 NOV 07 07:21:55	3548.5	-86.0	-51.5	79.6	-62.7	21.8	62.7	167.5	0.9	1	-	-	-		
46	2018 NOV 07 07:21:55	2018 NOV 07 07:51:16	2018 NOV 07 08:20:38	3522.8	79.6	113.5	-114.8	62.7	-20.5	-62.7	12.4	12.9	1	-		COP row -1: UVIS off		
47	2018 NOV 07 08:20:38	2018 NOV 07 08:50:11	2018 NOV 07 09:19:45	3547.7	-114.8	-80.5	50.8	-62.7	21.9	62.7	167.8	0.9	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
47	2018 NOV 07 09:19:45	2018 NOV 07 09:49:06	2018 NOV 07 10:18:27	3521.8	50.8	84.6	-143.6	62.7	-20.6	-62.7	12.1	12.8	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0	&daysideMatch:NILI FOSSAE; 	
48	2018 NOV 07 10:18:27	2018 NOV 07 10:48:00	2018 NOV 07 11:17:34	3546.7	-143.6	-109.4	21.9	-62.7	21.9	62.6	168.0	0.9	4	-	-	-		
