Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
NOMAD	34	45	Egress	2021 SEP 07 08:29:08	2021 SEP 07 08:29:54	2021 SEP 07 08:33:38	270.00	-70.91	-68.47	-55.65	-58.07	-59.02	-62.58	9.47	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:VERNAL CRATER; &mroOverlap; 	
ACS	35	45	Ingress	2021 SEP 07 09:45:54	2021 SEP 07 09:49:18	2021 SEP 07 09:50:02	248.00	159.13	170.19	172.42	61.81	58.32	57.37	2.67	14	-	-	-	&daysideMatch:ACIDALIA MUD VOLCANOES BASIN; 	
ACS	35	45	Egress	2021 SEP 07 10:27:07	2021 SEP 07 10:27:53	2021 SEP 07 10:31:36	269.00	-99.50	-97.07	-84.37	-58.11	-59.06	-62.57	9.47	14	-	-	-	&daysideMatch:ACIDALIA MUD VOLCANOES BASIN; 	
N/A	36	45	Ingress	2021 SEP 07 11:43:50	2021 SEP 07 11:47:14	2021 SEP 07 11:47:57	247.00	130.06	141.13	143.32	61.89	58.46	57.55	2.64	14	-	-	-		
N/A	36	45	Egress	2021 SEP 07 12:25:06	2021 SEP 07 12:25:52	2021 SEP 07 12:29:34	268.00	-127.98	-125.55	-112.95	-58.20	-59.14	-62.60	9.49	14	-	-	-		
NOMAD	37	45	Ingress	2021 SEP 07 13:41:44	2021 SEP 07 13:45:07	2021 SEP 07 13:45:50	246.00	101.06	112.08	114.27	61.96	58.60	57.69	2.62	1	6SUBD Nominal #48	Science: orders #121, #134, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	37	45	Egress	2021 SEP 07 14:23:03	2021 SEP 07 14:23:49	2021 SEP 07 14:27:31	268.00	-156.44	-154.01	-141.44	-58.30	-59.23	-62.64	9.50	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	38	45	Ingress	2021 SEP 07 15:39:34	2021 SEP 07 15:42:57	2021 SEP 07 15:43:40	246.00	71.98	83.02	85.21	62.05	58.74	57.85	2.59	1	-	-	-	&daysideMatch:ARSIA MONS; 	
NOMAD	38	45	Egress	2021 SEP 07 16:20:56	2021 SEP 07 16:21:41	2021 SEP 07 16:25:23	267.00	175.02	177.39	-170.10	-58.35	-59.26	-62.65	9.51	1	6SUBD Nom CO2 #1	Science: orders #121, #134, #149, #164, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:ARSIA MONS; 	
ACS	39	45	Ingress	2021 SEP 07 17:37:24	2021 SEP 07 17:40:46	2021 SEP 07 17:41:29	245.00	42.85	53.87	56.08	62.15	58.91	58.03	2.56	14	-	-	-		
