Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
135	Nightside	2021 FEB 03 13:28:30	2021 FEB 03 13:57:59	2021 FEB 03 14:27:29	3539.1	78.1	161.0	-116.2	74.5	0.8	-74.6	177.0	23.8	1	-	-	-		
135	Dayside	2021 FEB 03 14:27:29	2021 FEB 03 14:56:59	2021 FEB 03 15:26:29	3539.6	-116.2	-33.1	49.5	-74.6	0.7	74.6	3.1	11.8	1	CH4 CO 2SUBD #3	Science: orders #189, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:ACIDALIA MUD VOLCANOES NE; 	
136	Nightside	2021 FEB 03 15:26:29	2021 FEB 03 15:55:57	2021 FEB 03 16:25:26	3537.4	49.5	132.1	-144.8	74.6	0.7	-74.6	176.8	23.8	14	-	-	-		
136	Dayside	2021 FEB 03 16:25:26	2021 FEB 03 16:54:56	2021 FEB 03 17:24:25	3539.1	-144.8	-62.0	20.8	-74.6	0.8	74.6	3.3	11.8	14	-		COP row -1: 		
137	Nightside	2021 FEB 03 17:24:25	2021 FEB 03 17:53:53	2021 FEB 03 18:23:21	3536.1	20.8	103.1	-173.5	74.6	0.7	-74.6	176.5	23.8	1	-	-	-		
137	Dayside	2021 FEB 03 18:23:21	2021 FEB 03 18:52:50	2021 FEB 03 19:22:19	3537.8	-173.5	-90.9	-7.8	-74.6	0.9	74.7	3.6	11.8	1	-		COP row -1: 		
138	Nightside	2021 FEB 03 19:22:19	2021 FEB 03 19:51:47	2021 FEB 03 20:21:14	3535.2	-7.8	74.2	157.9	74.7	0.6	-74.6	176.3	23.8	1	-	-	-		
138	Dayside	2021 FEB 03 20:21:14	2021 FEB 03 20:50:43	2021 FEB 03 21:20:12	3537.9	157.9	-119.8	-36.4	-74.6	0.9	74.6	3.8	11.8	1	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:ARSIA MONS; &daysideMatch:OLYMPICA FOSSAE-JOVIS THOLUS; &mroOverlap; 	
139	Nightside	2021 FEB 03 21:20:12	2021 FEB 03 21:49:40	2021 FEB 03 22:19:08	3535.7	-36.4	45.3	129.3	74.6	0.5	-74.6	176.1	23.7	14	-	-	-		
139	Dayside	2021 FEB 03 22:19:08	2021 FEB 03 22:48:38	2021 FEB 03 23:18:08	3540.1	129.3	-148.8	-65.0	-74.6	1.0	74.6	4.0	11.8	14	-		COP row -1: 		
140	Nightside	2021 FEB 03 23:18:08	2021 FEB 03 23:47:37	2021 FEB 04 00:17:05	3537.3	-65.0	16.4	100.7	74.6	0.4	-74.5	175.8	23.7	1	-	-	-		
