Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
1,1,99,2018 MAY 27 16:55:16,2018 MAY 27 18:53:09,7073,2018 MAY 27 16:53:16,2018 MAY 27 17:52:19,3543,2018 MAY 27 17:52:20,2018 MAY 27 18:51:09,3529,42.2077,2018 MAY 27 18:21:31
3,3,100,2018 MAY 27 18:53:10,2018 MAY 27 20:51:04,7074,2018 MAY 27 18:51:10,2018 MAY 27 19:50:15,3545,2018 MAY 27 19:50:16,2018 MAY 27 20:49:04,3528,41.9173,2018 MAY 27 20:19:26
4,4,101,2018 MAY 27 20:51:05,2018 MAY 27 22:48:59,7074,2018 MAY 27 20:49:05,2018 MAY 27 21:48:12,3547,2018 MAY 27 21:48:13,2018 MAY 27 22:46:59,3526,41.6484,2018 MAY 27 22:17:23
3,3,102,2018 MAY 27 22:49:00,2018 MAY 28 00:46:53,7073,2018 MAY 27 22:47:00,2018 MAY 27 23:46:07,3547,2018 MAY 27 23:46:08,2018 MAY 28 00:44:53,3525,41.3994,2018 MAY 28 00:15:18
1,1,103,2018 MAY 28 00:46:54,2018 MAY 28 02:44:44,7070,2018 MAY 28 00:44:54,2018 MAY 28 01:43:59,3545,2018 MAY 28 01:44:00,2018 MAY 28 02:42:44,3524,41.1588,2018 MAY 28 02:13:09
4,4,104,2018 MAY 28 02:44:45,2018 MAY 28 04:42:34,7069,2018 MAY 28 02:42:45,2018 MAY 28 03:41:49,3544,2018 MAY 28 03:41:50,2018 MAY 28 04:40:34,3524,40.898,2018 MAY 28 04:10:59
1,1,105,2018 MAY 28 04:42:35,2018 MAY 28 06:40:28,7073,2018 MAY 28 04:40:35,2018 MAY 28 05:39:40,3545,2018 MAY 28 05:39:41,2018 MAY 28 06:38:28,3527,40.6222,2018 MAY 28 06:08:51
3,3,106,2018 MAY 28 06:40:29,2018 MAY 28 08:38:23,7074,2018 MAY 28 06:38:29,2018 MAY 28 07:37:34,3545,2018 MAY 28 07:37:35,2018 MAY 28 08:36:23,3528,40.3419,2018 MAY 28 08:06:47
4,4,107,2018 MAY 28 08:38:24,2018 MAY 28 10:36:19,7075,2018 MAY 28 08:36:24,2018 MAY 28 09:35:30,3546,2018 MAY 28 09:35:31,2018 MAY 28 10:34:19,3528,40.0623,2018 MAY 28 10:04:42
3,3,108,2018 MAY 28 10:36:20,2018 MAY 28 12:34:13,7073,2018 MAY 28 10:34:20,2018 MAY 28 11:33:24,3544,2018 MAY 28 11:33:25,2018 MAY 28 12:32:13,3528,39.7965,2018 MAY 28 12:02:36
1,1,109,2018 MAY 28 12:34:14,2018 MAY 28 14:32:05,7071,2018 MAY 28 12:32:14,2018 MAY 28 13:31:17,3543,2018 MAY 28 13:31:18,2018 MAY 28 14:30:05,3527,39.5506,2018 MAY 28 14:00:28
1,1,110,2018 MAY 28 14:32:06,2018 MAY 28 16:29:54,7068,2018 MAY 28 14:30:06,2018 MAY 28 15:29:07,3541,2018 MAY 28 15:29:08,2018 MAY 28 16:27:54,3526,39.307,2018 MAY 28 15:58:18
4,4,111,2018 MAY 28 16:29:55,2018 MAY 28 18:27:47,7072,2018 MAY 28 16:27:55,2018 MAY 28 17:26:57,3542,2018 MAY 28 17:26:58,2018 MAY 28 18:25:47,3529,39.0314,2018 MAY 28 17:56:09
3,3,112,2018 MAY 28 18:27:48,2018 MAY 28 20:25:41,7073,2018 MAY 28 18:25:48,2018 MAY 28 19:24:51,3543,2018 MAY 28 19:24:52,2018 MAY 28 20:23:41,3529,38.7349,2018 MAY 28 19:54:03
4,4,113,2018 MAY 28 20:25:42,2018 MAY 28 22:23:36,7074,2018 MAY 28 20:23:42,2018 MAY 28 21:22:47,3545,2018 MAY 28 21:22:48,2018 MAY 28 22:21:36,3528,38.4541,2018 MAY 28 21:51:59
3,3,114,2018 MAY 28 22:23:37,2018 MAY 29 00:21:31,7074,2018 MAY 28 22:21:37,2018 MAY 28 23:20:44,3547,2018 MAY 28 23:20:45,2018 MAY 29 00:19:31,3526,38.1958,2018 MAY 28 23:49:55
1,1,115,2018 MAY 29 00:21:32,2018 MAY 29 02:19:23,7071,2018 MAY 29 00:19:32,2018 MAY 29 01:18:37,3545,2018 MAY 29 01:18:38,2018 MAY 29 02:17:23,3525,37.9527,2018 MAY 29 01:47:48
4,4,116,2018 MAY 29 02:19:24,2018 MAY 29 04:17:13,7069,2018 MAY 29 02:17:24,2018 MAY 29 03:16:27,3543,2018 MAY 29 03:16:28,2018 MAY 29 04:15:13,3525,37.7022,2018 MAY 29 03:45:37
