TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 04:01:55,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 04:01:55,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 04:01:55,COMMENT_GOES_HERE
1,1,1090,1090,Dayside_Nadir,2018 MAR 28 05:57:03,NONE
1,1,2639,2639,Dayside_Nadir,2018 MAR 28 07:59:25,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 10:11:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 10:11:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 10:11:15,COMMENT_GOES_HERE
1,1,140,140,Dayside_Nadir,2018 MAR 28 12:03:01,NONE
1,1,104,104,Dayside_Nadir,2018 MAR 28 14:04:45,NONE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 16:16:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 16:16:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 16:16:29,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 18:18:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 18:18:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 18:18:15,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 20:20:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 20:20:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 20:20:05,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 22:21:55,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 22:21:55,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 28 22:21:55,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 29 00:23:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 29 00:23:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 29 00:23:43,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 29 02:25:27,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 29 02:25:27,COMMENT_GOES_HERE
-1,-1,-1,-1,Dayside_Nadir,2018 MAR 29 02:25:27,COMMENT_GOES_HERE
1,1,1033,1033,Dayside_Nadir,2018 MAR 29 04:17:11,NONE
1,1,1860,1860,Dayside_Nadir,2018 MAR 29 06:18:57,NONE
1,1,2626,2626,Dayside_Nadir,2018 MAR 29 08:20:47,NONE
1,1,116,116,Dayside_Nadir,2018 MAR 29 10:22:37,NONE
1,1,1779,1779,Dayside_Nadir,2018 MAR 29 12:24:23,NONE
1,1,2364,2364,Dayside_Nadir,2018 MAR 29 14:26:09,NONE
1,1,1029,1029,Dayside_Nadir,2018 MAR 29 16:27:51,NONE
1,1,1837,1837,Dayside_Nadir,2018 MAR 29 18:29:37,NONE
