degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,170,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,190,9,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,190,9,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,11,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,110,11,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,140,11,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,140,11,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,13,14,4,1000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=762MS -- NROWS=20
0,1,1,110,13,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,110,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,110,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,110,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,110,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,120,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,120,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,120,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,120,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,130,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,130,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,130,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,130,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,140,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,140,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,140,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,140,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,150,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,150,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,150,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,150,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,160,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,160,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,160,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,160,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,170,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,170,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,170,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,170,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,180,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,180,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,180,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,180,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,190,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,190,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,190,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,190,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,200,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,200,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,200,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,200,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,210,6,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,210,6,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,210,6,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,210,6,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,110,8,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,110,8,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,110,8,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,110,8,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,140,8,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,140,8,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,140,8,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,140,8,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,170,8,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,170,8,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,170,8,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,170,8,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,190,8,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,190,8,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
0,1,1,190,8,60,5,190000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14466MS -- NROWS=144
0,1,1,190,8,32,5,390000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14426MS -- NROWS=144
0,1,1,110,10,148,5,50000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14475MS -- NROWS=144
0,1,1,110,10,98,5,100000 # NADIR_FULLSCAN_SLOW -- EXECTIME=14568MS -- NROWS=144
