science_1,science_2,science_3,science_4,science_5,science_6
82,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
83,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
84,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
85,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
86,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
87,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
88,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
89,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
90,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
91,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
92,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
93,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
94,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
95,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
96,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
97,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
98,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
99,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
100,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
101,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
102,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
103,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
104,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
105,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
106,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=849MS -- NROWS=24
107,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=829MS -- NROWS=24
108,0,0,0,0,0 # OCCULTATION_FULLSCAN_SLOW -- EXECTIME=841MS -- NROWS=24
109,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
110,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
111,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
112,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
113,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
114,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
115,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
116,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
117,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
118,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
119,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
120,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
121,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
122,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
123,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
124,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
125,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
126,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
127,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
128,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
129,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
130,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
131,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
132,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
133,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
134,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
135,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
136,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
137,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
138,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
139,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
140,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
141,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
142,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
143,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
144,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
145,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
146,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
147,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
148,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
149,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
150,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
151,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
152,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
153,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
154,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
155,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
156,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
157,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
158,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
159,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
160,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
161,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
162,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
163,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
164,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
165,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
166,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
167,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
168,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
169,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
170,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
171,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
172,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
173,0,0,0,0,0 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
