TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1107,1107,491,Dayside_Nadir,2018 MAY 08 15:19:05,OBSERVATION_COMMENT
-1,-1,-1,-1,492,Dayside_Nadir,2018 MAY 08 17:27:01, 
-1,-1,-1,-1,493,Dayside_Nadir,2018 MAY 08 17:27:01, 
-1,-1,-1,-1,494,Dayside_Nadir,2018 MAY 08 17:27:01, 
1,1,1837,1837,495,Dayside_Nadir,2018 MAY 08 19:14:57,OBSERVATION_COMMENT
1,1,1033,1033,497,Dayside_Nadir,2018 MAY 08 21:22:57,OBSERVATION_COMMENT
-1,-1,-1,-1,498,Dayside_Nadir,2018 MAY 08 23:21:01, 
-1,-1,-1,-1,499,Dayside_Nadir,2018 MAY 08 23:21:01, 
-1,-1,-1,-1,500,Dayside_Nadir,2018 MAY 08 23:21:01, 
1,1,140,140,501,Dayside_Nadir,2018 MAY 09 01:09:03,OBSERVATION_COMMENT
-1,-1,-1,-1,502,Dayside_Nadir,2018 MAY 09 03:17:05, 
-1,-1,-1,-1,503,Dayside_Nadir,2018 MAY 09 03:17:05, 
-1,-1,-1,-1,504,Dayside_Nadir,2018 MAY 09 03:17:05, 
1,1,104,104,505,Dayside_Nadir,2018 MAY 09 05:05:03,OBSERVATION_COMMENT
-1,-1,-1,-1,506,Dayside_Nadir,2018 MAY 09 07:12:59, 
-1,-1,-1,-1,507,Dayside_Nadir,2018 MAY 09 07:12:59, 
-1,-1,-1,-1,508,Dayside_Nadir,2018 MAY 09 07:12:59, 
1,1,2639,2639,509,Dayside_Nadir,2018 MAY 09 09:00:59,OBSERVATION_COMMENT
-1,-1,-1,-1,510,Dayside_Nadir,2018 MAY 09 11:09:03, 
-1,-1,-1,-1,511,Dayside_Nadir,2018 MAY 09 11:09:03, 
-1,-1,-1,-1,512,Dayside_Nadir,2018 MAY 09 11:09:03, 
1,1,2626,2626,513,Dayside_Nadir,2018 MAY 09 12:57:07,OBSERVATION_COMMENT
-1,-1,-1,-1,514,Dayside_Nadir,2018 MAY 09 15:05:09, 
-1,-1,-1,-1,515,Dayside_Nadir,2018 MAY 09 15:05:09, 
-1,-1,-1,-1,516,Dayside_Nadir,2018 MAY 09 15:05:09, 
1,1,1029,1029,517,Dayside_Nadir,2018 MAY 09 16:53:09,OBSERVATION_COMMENT
-1,-1,-1,-1,518,Dayside_Nadir,2018 MAY 09 19:01:05, 
-1,-1,-1,-1,519,Dayside_Nadir,2018 MAY 09 19:01:05, 
-1,-1,-1,-1,520,Dayside_Nadir,2018 MAY 09 19:01:05, 
1,1,1090,1090,521,Dayside_Nadir,2018 MAY 09 20:49:05,OBSERVATION_COMMENT
-1,-1,-1,-1,522,Dayside_Nadir,2018 MAY 09 22:57:11, 
-1,-1,-1,-1,523,Dayside_Nadir,2018 MAY 09 22:57:11, 
-1,-1,-1,-1,524,Dayside_Nadir,2018 MAY 09 22:57:11, 
1,1,1779,1779,525,Dayside_Nadir,2018 MAY 10 00:45:17,OBSERVATION_COMMENT
-1,-1,-1,-1,526,Dayside_Nadir,2018 MAY 10 02:53:21, 
