degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,140,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,140,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,140,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,145,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,145,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,145,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,150,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,150,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,150,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,155,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,155,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,155,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,160,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,160,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,160,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
0,1,1,165,7,12,4,2000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=738MS -- NROWS=20
0,1,1,165,7,10,4,4000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=756MS -- NROWS=20
0,1,1,165,7,8,4,6000 # OCCULTATION_FULLSCAN_FAST -- EXECTIME=726MS -- NROWS=20
