Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	20	Egress	2019 MAY 20 05:42:12	2019 MAY 20 05:43:18	2019 MAY 20 05:48:10	358.00	107.70	106.78	102.69	8.36	11.48	24.28	5.84	14	-	-	-		
ACS	21	Ingress	2019 MAY 20 07:03:49	2019 MAY 20 07:09:00	2019 MAY 20 07:10:08	379.00	-113.36	-136.73	-146.88	-62.31	-73.89	-75.98	15.00	14	-	-	-		
ACS	21	Egress	2019 MAY 20 07:40:08	2019 MAY 20 07:41:13	2019 MAY 20 07:46:03	355.00	78.90	77.99	73.92	8.85	11.91	24.59	5.84	14	-	-	-		
NOMAD	22	Ingress	2019 MAY 20 09:01:43	2019 MAY 20 09:06:52	2019 MAY 20 09:07:59	376.00	-142.20	-165.43	-175.38	-62.43	-73.88	-75.93	15.00	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	22	Egress	2019 MAY 20 09:38:07	2019 MAY 20 09:39:11	2019 MAY 20 09:43:59	352.00	50.08	49.19	45.14	9.32	12.32	24.87	5.83	1	BgSubTest 04	Science: orders #168, #136, #189, #119, #166, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	23	Ingress	2019 MAY 20 10:59:40	2019 MAY 20 11:04:47	2019 MAY 20 11:05:53	373.00	-171.12	165.66	155.87	-62.60	-73.91	-75.92	14.98	1	Nominal Science 1xCO2 HA02; Nominal Science 1xCO2 LA02	Science: orders #168, #134, #190, #119, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	23	Egress	2019 MAY 20 11:36:10	2019 MAY 20 11:37:14	2019 MAY 20 11:42:00	350.00	21.24	20.34	16.31	9.85	12.84	25.25	5.82	1	Nominal Science 1xCO2 LA04; Nominal Science 1xCO2 HA04	Science: orders #168, #136, #189, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #136, #189, #119, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	24	Ingress	2019 MAY 20 12:57:37	2019 MAY 20 13:02:41	2019 MAY 20 13:03:47	370.00	160.00	136.98	127.24	-62.74	-73.89	-75.90	14.98	3	-	-	-	&daysideMatch:INSIGHT; 	
ACS	24	Egress	2019 MAY 20 13:34:13	2019 MAY 20 13:35:16	2019 MAY 20 13:40:01	348.00	-7.61	-8.50	-12.53	10.42	13.35	25.68	5.81	3	-	-	-	&daysideMatch:INSIGHT; 	
NOMAD	25	Ingress	2019 MAY 20 14:55:29	2019 MAY 20 15:00:32	2019 MAY 20 15:01:38	369.00	131.26	108.40	98.73	-62.76	-73.84	-75.85	14.99	1	134 with 1xDark	Science: orders #134, #134, #134, #134, #134, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	25	Egress	2019 MAY 20 15:32:14	2019 MAY 20 15:33:17	2019 MAY 20 15:37:59	345.00	-36.46	-37.34	-41.34	10.97	13.90	26.07	5.81	1	HDO 01	Science: orders #168, #134, #124, #129, #190, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	26	Ingress	2019 MAY 20 16:53:21	2019 MAY 20 16:58:24	2019 MAY 20 16:59:29	368.00	102.49	79.61	70.11	-62.81	-73.85	-75.82	14.98	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	26	Egress	2019 MAY 20 17:30:12	2019 MAY 20 17:31:15	2019 MAY 20 17:35:56	344.00	-65.29	-66.17	-70.17	11.50	14.43	26.51	5.80	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	27	Ingress	2019 MAY 20 18:51:12	2019 MAY 20 18:56:13	2019 MAY 20 18:57:18	366.00	73.62	50.80	41.30	-62.95	-73.87	-75.83	14.97	14	-	-	-		
ACS	27	Egress	2019 MAY 20 19:28:08	2019 MAY 20 19:29:10	2019 MAY 20 19:33:50	342.00	-94.09	-94.97	-98.96	11.97	14.83	26.84	5.79	14	-	-	-		
NOMAD	28	Ingress	2019 MAY 20 20:49:05	2019 MAY 20 20:54:04	2019 MAY 20 20:55:08	363.00	44.75	22.02	12.70	-63.09	-73.87	-75.79	14.97	1	Nominal Science 1xCO2 HA01; Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7	egressMatch:ULYSSES FOSSAE; egressMatch:ULYSSES FOSSAE; 	
