Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
ACS	101	Egress	2018 JUN 20 17:16:49	2018 JUN 20 17:22:28	2018 JUN 20 17:18:06	339.0	173.1	-80.0	21.0	
NOMAD	102	Ingress	2018 JUN 20 18:34:13	2018 JUN 20 18:39:31	2018 JUN 20 18:38:17	318.0	95.7	61.9	17.1	
NOMAD	103	Egress	2018 JUN 20 19:14:41	2018 JUN 20 19:20:21	2018 JUN 20 19:15:58	340.0	143.7	-79.8	21.0	
N/A	104	Ingress	2018 JUN 20 20:32:09	2018 JUN 20 20:37:29	2018 JUN 20 20:36:14	320.0	66.9	62.0	17.1	
N/A	105	Egress	2018 JUN 20 21:12:32	2018 JUN 20 21:18:15	2018 JUN 20 21:13:49	343.0	114.2	-79.6	20.9	
ACS	106	Ingress	2018 JUN 20 22:30:02	2018 JUN 20 22:35:23	2018 JUN 20 22:34:08	321.0	38.4	61.7	17.1	
ACS	107	Egress	2018 JUN 20 23:10:21	2018 JUN 20 23:16:06	2018 JUN 20 23:11:39	345.0	84.7	-79.5	20.9	
N/A	108	Ingress	2018 JUN 21 00:27:51	2018 JUN 21 00:33:14	2018 JUN 21 00:31:58	323.0	9.7	61.6	17.1	
N/A	109	Egress	2018 JUN 21 01:08:06	2018 JUN 21 01:13:52	2018 JUN 21 01:09:25	346.0	55.1	-79.2	20.8	
NOMAD	110	Ingress	2018 JUN 21 02:25:43	2018 JUN 21 02:31:07	2018 JUN 21 02:29:51	324.0	-19.0	61.5	17.1	
NOMAD	111	Egress	2018 JUN 21 03:05:53	2018 JUN 21 03:11:40	2018 JUN 21 03:07:12	347.0	25.8	-79.1	20.8	
ACS	112	Ingress	2018 JUN 21 04:23:40	2018 JUN 21 04:29:05	2018 JUN 21 04:27:49	325.0	-47.6	61.5	17.1	
ACS	113	Egress	2018 JUN 21 05:03:45	2018 JUN 21 05:09:33	2018 JUN 21 05:05:03	348.0	-3.3	-79.0	20.7	
NOMAD	114	Ingress	2018 JUN 21 06:21:38	2018 JUN 21 06:27:04	2018 JUN 21 06:25:48	326.0	-76.2	61.2	17.1	
NOMAD	115	Egress	2018 JUN 21 07:01:37	2018 JUN 21 07:07:27	2018 JUN 21 07:02:56	350.0	-32.8	-78.7	20.7	
