Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
71	2018 JUN 22 10:41:39	2018 JUN 22 11:44:33	2018 JUN 22 11:12:47	3776.0	37.6	104.0	-157.0	-72.8	5.7	72.8	9.2	
72	2018 JUN 22 12:39:29	2018 JUN 22 13:42:23	2018 JUN 22 13:10:37	3778.0	8.6	75.1	174.4	-72.8	5.8	72.8	9.2	
73	2018 JUN 22 14:37:19	2018 JUN 22 15:40:15	2018 JUN 22 15:08:27	3780.0	-20.0	46.2	145.9	-72.8	5.9	72.7	9.2	
74	2018 JUN 22 16:35:12	2018 JUN 22 17:38:09	2018 JUN 22 17:06:21	3780.0	-48.5	17.3	117.1	-72.7	6.0	72.6	9.2	
75	2018 JUN 22 18:33:07	2018 JUN 22 19:36:05	2018 JUN 22 19:04:17	3780.0	-77.0	-11.7	88.5	-72.6	6.1	72.6	9.1	
76	2018 JUN 22 20:31:01	2018 JUN 22 21:33:59	2018 JUN 22 21:02:11	3782.0	-106.1	-40.7	59.8	-72.6	6.2	72.6	9.1	
77	2018 JUN 22 22:28:53	2018 JUN 22 23:31:49	2018 JUN 22 23:00:01	3778.0	-134.5	-69.6	30.8	-72.6	6.2	72.7	9.1	
78	2018 JUN 23 00:26:43	2018 JUN 23 01:29:39	2018 JUN 23 00:57:51	3778.0	-163.4	-98.5	2.2	-72.6	6.3	72.7	9.1	
79	2018 JUN 23 02:24:32	2018 JUN 23 03:27:29	2018 JUN 23 02:55:41	3780.0	167.8	-127.5	-26.6	-72.6	6.3	72.6	9.1	
80	2018 JUN 23 04:22:24	2018 JUN 23 05:25:23	2018 JUN 23 04:53:33	3782.0	139.2	-156.4	-55.2	-72.6	6.5	72.5	9.1	
81	2018 JUN 23 06:20:19	2018 JUN 23 07:23:17	2018 JUN 23 06:51:29	3780.0	110.7	174.7	-83.9	-72.4	6.6	72.5	9.0	
82	2018 JUN 23 08:18:15	2018 JUN 23 09:21:11	2018 JUN 23 08:49:23	3778.0	82.0	145.7	-112.6	-72.4	6.7	72.5	9.0	
83	2018 JUN 23 10:16:09	2018 JUN 23 11:19:03	2018 JUN 23 10:47:17	3778.0	52.9	116.8	-141.4	-72.5	6.7	72.5	9.0	
84	2018 JUN 23 12:13:59	2018 JUN 23 13:16:53	2018 JUN 23 12:45:07	3776.0	24.4	87.8	-170.1	-72.5	6.8	72.5	9.0	
85	2018 JUN 23 14:11:48	2018 JUN 23 15:14:43	2018 JUN 23 14:42:55	3778.0	-4.4	58.9	161.2	-72.5	6.9	72.4	9.0	
86	2018 JUN 23 16:09:40	2018 JUN 23 17:12:37	2018 JUN 23 16:40:47	3780.0	-32.9	30.0	132.7	-72.4	7.0	72.3	9.0	
87	2018 JUN 23 18:07:34	2018 JUN 23 19:10:33	2018 JUN 23 18:38:43	3782.0	-61.7	1.1	104.1	-72.3	7.0	72.2	8.9	
88	2018 JUN 23 20:05:29	2018 JUN 23 21:08:27	2018 JUN 23 20:36:39	3780.0	-90.2	-27.9	75.2	-72.2	7.1	72.3	8.9	
89	2018 JUN 23 22:03:22	2018 JUN 23 23:06:19	2018 JUN 23 22:34:31	3780.0	-119.1	-56.9	46.4	-72.3	7.2	72.3	8.9	
90	2018 JUN 24 00:01:13	2018 JUN 24 01:04:09	2018 JUN 24 00:32:21	3778.0	-147.7	-85.8	17.6	-72.3	7.3	72.3	8.9	
91	2018 JUN 24 01:59:02	2018 JUN 24 03:01:59	2018 JUN 24 02:30:11	3780.0	-176.7	-114.7	-11.0	-72.3	7.3	72.3	8.9	
92	2018 JUN 24 03:56:53	2018 JUN 24 04:59:53	2018 JUN 24 04:28:03	3784.0	154.7	-143.6	-39.4	-72.2	7.4	72.1	8.9	
93	2018 JUN 24 05:54:48	2018 JUN 24 06:57:47	2018 JUN 24 06:25:57	3782.0	126.3	-172.6	-68.2	-72.1	7.6	72.1	8.8	
94	2018 JUN 24 07:52:44	2018 JUN 24 08:55:43	2018 JUN 24 08:23:53	3782.0	97.6	158.5	-96.7	-72.0	7.7	72.0	8.8	
95	2018 JUN 24 09:50:40	2018 JUN 24 10:53:35	2018 JUN 24 10:21:47	3778.0	68.9	129.5	-125.7	-72.0	7.7	72.1	8.8	
