TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,2364,2364,355,Dayside_Nadir,2018 JUN 01 13:35:13,OBSERVATION_COMMENT
1,1,2318,2318,357,Dayside_Nadir,2018 JUN 01 15:43:05,OBSERVATION_COMMENT
-1,-1,-1,-1,358,Dayside_Nadir,2018 JUN 01 17:40:53, 
-1,-1,-1,-1,359,Dayside_Nadir,2018 JUN 01 17:40:53, 
-1,-1,-1,-1,360,Dayside_Nadir,2018 JUN 01 17:40:53, 
1,1,144,144,362,Dayside_Nadir,2018 JUN 01 19:38:43,OBSERVATION_COMMENT
1,1,124,124,363,Dayside_Nadir,2018 JUN 01 21:26:37,OBSERVATION_COMMENT
-1,-1,-1,-1,364,Dayside_Nadir,2018 JUN 01 23:34:33, 
-1,-1,-1,-1,365,Dayside_Nadir,2018 JUN 01 23:34:33, 
-1,-1,-1,-1,366,Dayside_Nadir,2018 JUN 01 23:34:33, 
1,1,2318,2318,368,Dayside_Nadir,2018 JUN 02 01:32:29,OBSERVATION_COMMENT
1,1,116,116,369,Dayside_Nadir,2018 JUN 02 03:20:19,OBSERVATION_COMMENT
1,1,2318,2318,371,Dayside_Nadir,2018 JUN 02 05:28:09,OBSERVATION_COMMENT
-1,-1,-1,-1,372,Dayside_Nadir,2018 JUN 02 07:25:59, 
-1,-1,-1,-1,373,Dayside_Nadir,2018 JUN 02 07:25:59, 
-1,-1,-1,-1,374,Dayside_Nadir,2018 JUN 02 07:25:59, 
1,1,1934,1934,375,Dayside_Nadir,2018 JUN 02 09:13:53,OBSERVATION_COMMENT
-1,-1,-1,-1,376,Dayside_Nadir,2018 JUN 02 11:21:47, 
-1,-1,-1,-1,377,Dayside_Nadir,2018 JUN 02 11:21:47, 
-1,-1,-1,-1,378,Dayside_Nadir,2018 JUN 02 11:21:47, 
1,1,2318,2318,379,Dayside_Nadir,2018 JUN 02 13:09:41,OBSERVATION_COMMENT
-1,-1,-1,-1,380,Dayside_Nadir,2018 JUN 02 15:17:33, 
-1,-1,-1,-1,381,Dayside_Nadir,2018 JUN 02 15:17:33, 
