degf,dvaf,sbsf,aotfPointer,steppingPointer,accumulationCount,binningFactor,integrationTime
0,1,1,110,9,18,17,205000 # NADIR_FULLSCAN_FAST_30ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,140,9,18,17,205000 # NADIR_FULLSCAN_FAST_30ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,170,9,18,17,205000 # NADIR_FULLSCAN_FAST_30ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,195,9,18,17,205000 # NADIR_FULLSCAN_FAST_30ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,115,12,18,17,205000 # NADIR_FULLSCAN_FAST_80ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,110,15,18,17,205000 # NADIR_FULLSCAN_FAST_105ORDERS_144ROWS_15SECS_3SUBDS -- EXECTIME=14373MS
0,1,1,105,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,107,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,120,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,126,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,130,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,134,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,141,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,142,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
0,1,1,146,17,78,0,2000 # OCCULTATION_MINISCAN_SLOW_1KHZ_24ROWS_1SECS_1SUBDS -- EXECTIME=849MS
