TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,140,140,68,Dayside_Nadir,2018 JUN 19 01:58:41,OBSERVATION_COMMENT
1,1,2639,2639,69,Dayside_Nadir,2018 JUN 19 03:56:35,OBSERVATION_COMMENT
-1,-1,-1,-1,70,Dayside_Nadir,2018 JUN 19 06:04:31, 
1,1,1107,1107,73,Dayside_Nadir,2018 JUN 19 08:02:25,OBSERVATION_COMMENT
1,1,1033,1033,76,Dayside_Nadir,2018 JUN 19 10:00:17,OBSERVATION_COMMENT
1,1,1090,1090,77,Dayside_Nadir,2018 JUN 19 11:48:05,OBSERVATION_COMMENT
-1,-1,-1,-1,78,Dayside_Nadir,2018 JUN 19 13:55:55, 
-1,-1,-1,-1,79,Dayside_Nadir,2018 JUN 19 13:55:55, 
-1,-1,-1,-1,80,Dayside_Nadir,2018 JUN 19 13:55:55, 
1,1,1029,1029,83,Dayside_Nadir,2018 JUN 19 15:53:49,OBSERVATION_COMMENT
-1,-1,-1,-1,84,Dayside_Nadir,2018 JUN 19 17:51:43, 
-1,-1,-1,-1,85,Dayside_Nadir,2018 JUN 19 17:51:43, 
-1,-1,-1,-1,86,Dayside_Nadir,2018 JUN 19 17:51:43, 
1,1,1090,1090,89,Dayside_Nadir,2018 JUN 19 19:49:35,OBSERVATION_COMMENT
-1,-1,-1,-1,90,Dayside_Nadir,2018 JUN 19 21:47:27, 
-1,-1,-1,-1,91,Dayside_Nadir,2018 JUN 19 21:47:27, 
-1,-1,-1,-1,92,Dayside_Nadir,2018 JUN 19 21:47:27, 
1,1,1779,1779,95,Dayside_Nadir,2018 JUN 19 23:45:17,OBSERVATION_COMMENT
-1,-1,-1,-1,96,Dayside_Nadir,2018 JUN 20 01:43:05, 
-1,-1,-1,-1,97,Dayside_Nadir,2018 JUN 20 01:43:05, 
-1,-1,-1,-1,98,Dayside_Nadir,2018 JUN 20 01:43:05, 
1,1,1860,1860,101,Dayside_Nadir,2018 JUN 20 03:40:57,OBSERVATION_COMMENT
-1,-1,-1,-1,102,Dayside_Nadir,2018 JUN 20 05:38:53, 
-1,-1,-1,-1,103,Dayside_Nadir,2018 JUN 20 05:38:53, 
-1,-1,-1,-1,104,Dayside_Nadir,2018 JUN 20 05:38:53, 
1,1,1107,1107,107,Dayside_Nadir,2018 JUN 20 07:36:49,OBSERVATION_COMMENT
-1,-1,-1,-1,108,Dayside_Nadir,2018 JUN 20 09:34:41, 
-1,-1,-1,-1,109,Dayside_Nadir,2018 JUN 20 09:34:41, 
-1,-1,-1,-1,110,Dayside_Nadir,2018 JUN 20 09:34:41, 
1,1,1837,1837,113,Dayside_Nadir,2018 JUN 20 11:32:31,OBSERVATION_COMMENT
-1,-1,-1,-1,114,Dayside_Nadir,2018 JUN 20 13:30:19, 
-1,-1,-1,-1,115,Dayside_Nadir,2018 JUN 20 13:30:19, 
