Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg)
Arsia Mons                    ,5,3,92,2018 JUL 22 03:14:57,2018 JUL 22 03:15:05,-11.7693,-130.7194,-12.1222,-130.6401,35.9875,36.0435
Arsia Mons                    ,6,17,104,2018 JUL 23 02:45:57,2018 JUL 23 02:49:16,-2.4195,-120.2164,-12.1222,-118.1149,32.5995,32.6962
Arsia Mons                    ,7,1,129,2018 JUL 25 03:52:08,2018 JUL 25 03:55:27,-2.4195,-124.0783,-12.1222,-121.9765,26.3641,25.7771
Arsia Mons                    ,8,1,154,2018 JUL 27 04:58:17,2018 JUL 27 05:01:36,-2.4195,-127.9299,-12.1222,-125.8275,20.6956,18.9193
Arsia Mons                    ,9,4,179,2018 JUL 29 06:06:07,2018 JUL 29 06:07:44,-7.3929,-130.7194,-12.1222,-129.6771,13.3679,12.2227
Arsia Mons                    ,10,1,191,2018 JUL 30 05:38:37,2018 JUL 30 05:41:55,-2.4195,-119.2513,-12.1222,-117.1501,14.7729,9.1531
Arsia Mons                    ,11,1,216,2018 AUG 01 06:44:48,2018 AUG 01 06:48:06,-2.4195,-123.1147,-12.1222,-121.0129,14.1902,4.4919
Arsia Mons                    ,12,4,241,2018 AUG 03 07:50:57,2018 AUG 03 07:54:16,-2.4195,-126.9686,-12.1222,-124.8665,16.8808,7.3603
Arsia Mons                    ,13,3,266,2018 AUG 05 08:57:15,2018 AUG 05 09:00:24,-2.8862,-130.7194,-12.1222,-128.7147,21.2232,13.6156
Arsia Mons                    ,14,1,278,2018 AUG 06 08:31:16,2018 AUG 06 08:34:34,-2.4195,-118.2862,-12.1222,-116.1853,24.352,16.8307
Arsia Mons                    ,15,4,303,2018 AUG 08 09:37:27,2018 AUG 08 09:40:46,-2.4195,-122.1501,-12.1222,-120.0485,30.4129,23.6195
Arsia Mons                    ,16,4,328,2018 AUG 10 10:43:37,2018 AUG 10 10:46:55,-2.4195,-126.0069,-12.1222,-123.905,36.827,30.47
Pavonis Mons                  ,1,1,29,2018 JUL 16 23:24:09,2018 JUL 16 23:25:47,7.3194,-110.7041,2.5478,-109.6889,53.0981,52.6997
Pavonis Mons                  ,2,4,54,2018 JUL 19 00:30:18,2018 JUL 19 00:33:33,7.3194,-114.5605,-2.1611,-112.5535,46.8269,45.8377
Pavonis Mons                  ,3,4,79,2018 JUL 21 01:36:27,2018 JUL 21 01:39:41,7.3194,-118.4163,-2.1611,-116.4084,40.8353,39.149
Pavonis Mons                  ,4,3,116,2018 JUL 24 02:16:49,2018 JUL 24 02:16:53,7.3194,-109.7402,7.0807,-109.6889,32.8091,32.6981
Pavonis Mons                  ,5,1,141,2018 JUL 26 03:22:58,2018 JUL 26 03:26:12,7.3194,-113.5982,-2.1611,-111.5914,28.3412,23.6256
Pavonis Mons                  ,6,1,166,2018 JUL 28 04:29:07,2018 JUL 28 04:32:21,7.3194,-117.4528,-2.1611,-115.4452,25.132,18.466
Pavonis Mons                  ,7,1,228,2018 AUG 02 06:15:38,2018 AUG 02 06:18:52,7.3194,-112.6353,-2.1611,-110.6286,25.3892,15.406
Pavonis Mons                  ,8,3,253,2018 AUG 04 07:21:46,2018 AUG 04 07:25:01,7.3194,-116.4896,-2.1611,-114.4823,28.7503,19.2507
Pavonis Mons                  ,9,1,278,2018 AUG 06 08:30:55,2018 AUG 06 08:31:11,-1.4192,-118.4972,-2.1611,-118.3407,25.231,24.5779
Pavonis Mons                  ,10,1,315,2018 AUG 09 09:08:18,2018 AUG 09 09:11:30,7.3194,-111.6718,-2.0487,-109.6889,41.4182,33.7493
Pavonis Mons                  ,11,4,340,2018 AUG 11 10:14:26,2018 AUG 11 10:17:41,7.3194,-115.5267,-2.1611,-113.5197,47.4315,40.1725
Ascraeus Mons                 ,1,4,4,2018 JUL 14 22:15:16,2018 JUL 14 22:17:42,15.2222,-108.6035,8.1278,-107.0169,60.3861,59.612
Ascraeus Mons                 ,2,4,66,2018 JUL 20 00:01:46,2018 JUL 20 00:04:12,15.2222,-103.7876,8.1278,-102.2006,46.3045,44.0951
Ascraeus Mons                 ,3,4,91,2018 JUL 22 01:07:55,2018 JUL 22 01:10:21,15.2222,-107.6401,8.1278,-106.0535,41.3898,38.3727
Ascraeus Mons                 ,4,4,153,2018 JUL 27 02:54:26,2018 JUL 27 02:56:46,15.2222,-102.8268,8.4189,-101.3028,32.8218,27.4098
Ascraeus Mons                 ,5,1,178,2018 JUL 29 04:00:35,2018 JUL 29 04:03:01,15.2222,-106.6769,8.1278,-105.0903,31.5654,24.9207
Ascraeus Mons                 ,6,1,203,2018 JUL 31 05:08:43,2018 JUL 31 05:09:11,9.4805,-109.2444,8.1278,-108.9502,25.9616,24.5772
Ascraeus Mons                 ,7,1,240,2018 AUG 03 05:47:06,2018 AUG 03 05:47:57,15.2222,-101.8658,12.7661,-101.3028,35.0883,32.5153
Ascraeus Mons                 ,8,4,265,2018 AUG 05 06:53:14,2018 AUG 05 06:55:40,15.2222,-105.7143,8.1278,-104.1276,38.748,31.627
Ascraeus Mons                 ,9,1,290,2018 AUG 07 07:59:54,2018 AUG 07 08:01:50,13.802,-109.2444,8.1278,-107.9854,41.9109,36.557
Eastern Coprates              ,1,4,15,2018 JUL 15 20:00:20,2018 JUL 15 20:02:41,-10.2028,-61.636,-17.0805,-60.0548,57.1695,58.415
Eastern Coprates              ,2,4,40,2018 JUL 17 21:06:30,2018 JUL 17 21:08:51,-10.2028,-65.5005,-17.0805,-63.9206,50.1962,51.5111
Eastern Coprates              ,3,4,52,2018 JUL 18 20:40:39,2018 JUL 18 20:42:43,-10.2028,-52.9513,-16.2329,-51.5722,46.8531,47.9875
Eastern Coprates              ,4,1,65,2018 JUL 19 22:14:59,2018 JUL 19 22:15:00,-17.0493,-67.7861,-17.0805,-67.7786,44.5902,44.5985
Eastern Coprates              ,5,4,77,2018 JUL 20 21:46:48,2018 JUL 20 21:49:09,-10.2028,-56.8076,-17.0805,-55.2262,39.901,41.2826
Eastern Coprates              ,6,17,102,2018 JUL 22 22:52:59,2018 JUL 22 22:55:20,-10.2028,-60.6709,-17.0805,-59.0896,32.98,34.3651
Eastern Coprates              ,7,4,127,2018 JUL 24 23:59:10,2018 JUL 25 00:01:31,-10.2028,-64.5367,-17.0805,-62.9565,26.1148,27.444
Eastern Coprates              ,8,3,139,2018 JUL 25 23:33:19,2018 JUL 25 23:33:58,-10.2028,-51.9883,-12.0658,-51.5722,22.8554,22.9928
Eastern Coprates              ,9,1,152,2018 JUL 27 01:06:15,2018 JUL 27 01:07:40,-12.9203,-67.7861,-17.0805,-66.8159,19.524,20.5225
Eastern Coprates              ,10,1,164,2018 JUL 28 00:39:28,2018 JUL 28 00:41:49,-10.2028,-55.8445,-17.0805,-54.2632,16.2134,17.2048
Eastern Coprates              ,11,4,189,2018 JUL 30 01:45:38,2018 JUL 30 01:47:59,-10.2028,-59.7055,-17.0805,-58.1241,10.1089,10.2931
Eastern Coprates              ,12,1,214,2018 AUG 01 02:51:49,2018 AUG 01 02:54:10,-10.2028,-63.5718,-17.0805,-61.9913,6.3339,3.4086
Eastern Coprates              ,13,1,239,2018 AUG 03 03:57:59,2018 AUG 03 04:00:20,-10.2028,-67.4317,-17.0805,-65.8527,8.7447,3.5851
Eastern Coprates              ,14,1,251,2018 AUG 04 03:32:08,2018 AUG 04 03:34:29,-10.2028,-54.8814,-17.0805,-53.3001,11.3489,6.8746
Eastern Coprates              ,15,4,276,2018 AUG 06 04:38:17,2018 AUG 06 04:40:38,-10.2028,-58.7402,-17.0805,-57.1588,17.6134,13.7546
Eastern Coprates              ,16,4,301,2018 AUG 08 05:44:29,2018 AUG 08 05:46:50,-10.2028,-62.6062,-17.0805,-61.0253,24.2726,20.6291
Eastern Coprates              ,17,3,326,2018 AUG 10 06:50:39,2018 AUG 10 06:53:00,-10.2028,-66.4683,-17.0805,-64.8889,31.065,27.4905
Eastern Coprates              ,18,3,338,2018 AUG 11 06:24:48,2018 AUG 11 06:27:09,-10.2028,-53.9183,-17.0805,-52.3369,34.3463,30.7746
Elysium Cerberus Phlegra 1    ,1,17,19,2018 JUL 16 03:34:39,2018 JUL 16 03:43:10,39.0816,169.7945,14.6235,177.1861,64.5509,56.6605
Elysium Cerberus Phlegra 1    ,2,4,31,2018 JUL 17 03:03:48,2018 JUL 17 03:05:10,52.8083,174.5549,49.1109,177.1861,70.6167,68.3939
Elysium Cerberus Phlegra 1    ,3,1,44,2018 JUL 18 04:44:40,2018 JUL 18 04:52:56,28.1163,169.7945,4.1528,175.6362,55.7801,48.8665
Elysium Cerberus Phlegra 1    ,4,1,56,2018 JUL 19 04:09:58,2018 JUL 19 04:13:53,52.8083,170.6852,42.0619,177.1861,69.224,61.8561
Elysium Cerberus Phlegra 1    ,5,4,69,2018 JUL 20 05:55:59,2018 JUL 20 05:59:05,13.1886,169.7945,4.1528,171.78,44.9116,42.5024
Elysium Cerberus Phlegra 1    ,6,4,81,2018 JUL 21 05:17:42,2018 JUL 21 05:23:30,48.5624,169.7945,32.268,177.1861,64.8693,52.8768
Elysium Cerberus Phlegra 1    ,7,1,106,2018 JUL 23 06:26:30,2018 JUL 23 06:34:25,41.2959,169.7945,18.6627,177.1861,57.8141,40.8056
Elysium Cerberus Phlegra 1    ,8,4,118,2018 JUL 24 05:56:28,2018 JUL 24 05:57:18,52.8083,175.5227,50.5574,177.1861,68.046,65.8912
Elysium Cerberus Phlegra 1    ,9,1,131,2018 JUL 25 07:36:15,2018 JUL 25 07:45:36,31.2034,169.7945,4.1528,176.6003,47.9701,28.336
Elysium Cerberus Phlegra 1    ,10,1,143,2018 JUL 26 07:02:38,2018 JUL 26 07:05:50,52.8083,171.6518,44.0383,177.1861,68.5302,59.712
Elysium Cerberus Phlegra 1    ,11,4,156,2018 JUL 27 08:47:14,2018 JUL 27 08:51:45,17.2905,169.7945,4.1528,172.7425,34.3769,23.9815
Elysium Cerberus Phlegra 1    ,12,1,168,2018 JUL 28 08:09:48,2018 JUL 28 08:15:12,50.0485,169.7945,35.0333,177.1861,66.6015,51.0915
Elysium Cerberus Phlegra 1    ,13,3,193,2018 JUL 30 09:18:26,2018 JUL 30 09:25:46,43.336,169.7945,22.4554,177.1861,60.8136,38.9492
Elysium Cerberus Phlegra 1    ,14,3,205,2018 JUL 31 08:49:07,2018 JUL 31 08:49:27,52.8083,176.4913,51.902,177.1861,72.0428,71.0288
Elysium Cerberus Phlegra 1    ,15,1,218,2018 AUG 01 10:27:55,2018 AUG 01 10:37:39,34.0484,169.7945,5.9228,177.1861,52.754,23.0377
Elysium Cerberus Phlegra 1    ,16,3,230,2018 AUG 02 09:55:17,2018 AUG 02 09:57:50,52.8083,172.6184,45.8617,177.1861,74.317,66.6195
Elysium Cerberus Phlegra 1    ,17,1,243,2018 AUG 03 11:38:34,2018 AUG 03 11:44:24,21.1545,169.7945,4.1528,173.7054,41.7027,23.9617
Elysium Cerberus Phlegra 1    ,18,1,255,2018 AUG 04 11:01:57,2018 AUG 04 11:06:57,51.4271,169.7945,37.5743,177.1861,75.4857,60.5244
Elysium Cerberus Phlegra 1    ,19,4,268,2018 AUG 05 12:50:28,2018 AUG 05 12:50:33,4.4088,169.7945,4.1528,169.8492,28.5509,28.3031
Elysium Cerberus Phlegra 1    ,20,4,280,2018 AUG 06 12:10:24,2018 AUG 06 12:17:11,45.2168,169.7945,25.9853,177.1861,71.9665,52.1395
Elysium Cerberus Phlegra 1    ,21,4,305,2018 AUG 08 13:19:39,2018 AUG 08 13:28:47,36.6661,169.7945,10.3482,177.1861,67.0385,41.8487
Elysium Cerberus Phlegra 1    ,22,4,317,2018 AUG 09 12:47:57,2018 AUG 09 12:49:53,52.8083,173.585,47.5465,177.1861,85.2637,79.878
Elysium Cerberus Phlegra 1    ,23,1,330,2018 AUG 10 14:29:59,2018 AUG 10 14:37:04,24.7607,169.7945,4.1528,174.6687,60.3309,42.4237
Elysium Cerberus Phlegra 2    ,1,4,7,2018 JUL 15 03:55:30,2018 JUL 15 04:01:34,52.8083,149.4036,36.0035,158.4639,72.3781,65.1086
Elysium Cerberus Phlegra 2    ,2,3,8,2018 JUL 15 06:01:54,2018 JUL 15 06:10:28,29.0226,131.8639,4.1528,137.9782,62.5999,58.3284
Elysium Cerberus Phlegra 2    ,3,17,20,2018 JUL 16 05:27:33,2018 JUL 16 05:44:38,52.8083,132.9744,4.1528,150.5213,71.3604,55.1372
Elysium Cerberus Phlegra 2    ,4,3,32,2018 JUL 17 05:01:41,2018 JUL 17 05:12:00,52.8083,145.5353,23.8286,158.4639,70.5353,56.2639
Elysium Cerberus Phlegra 2    ,5,1,33,2018 JUL 17 07:13:10,2018 JUL 17 07:16:39,14.3373,131.8639,4.1528,134.1115,53.2996,51.7166
Elysium Cerberus Phlegra 2    ,6,1,44,2018 JUL 18 04:35:50,2018 JUL 18 04:36:01,52.8083,158.0971,52.3366,158.4639,69.8209,69.5019
Elysium Cerberus Phlegra 2    ,7,1,45,2018 JUL 18 06:35:10,2018 JUL 18 06:50:49,48.9396,131.8639,4.1528,146.6567,67.1865,48.5932
Elysium Cerberus Phlegra 2    ,8,4,57,2018 JUL 19 06:07:51,2018 JUL 19 06:23:44,52.8083,141.6751,7.6705,158.4639,69.1687,46.1315
Elysium Cerberus Phlegra 2    ,9,4,69,2018 JUL 20 05:41:59,2018 JUL 20 05:44:19,52.8083,154.2383,46.4868,158.4639,68.6955,63.8858
Elysium Cerberus Phlegra 2    ,10,1,70,2018 JUL 20 07:43:52,2018 JUL 20 07:56:58,41.8746,131.8639,4.1528,142.8022,60.5006,42.2403
Elysium Cerberus Phlegra 2    ,11,1,82,2018 JUL 21 07:14:00,2018 JUL 21 07:31:06,52.8083,137.8108,4.1528,155.3582,68.3156,39.2869
Elysium Cerberus Phlegra 2    ,12,4,94,2018 JUL 22 06:48:09,2018 JUL 22 06:53:21,52.8083,150.3707,38.4615,158.4639,68.0987,56.1793
Elysium Cerberus Phlegra 2    ,13,1,95,2018 JUL 22 08:53:30,2018 JUL 22 09:03:08,32.0413,131.8639,4.1528,138.943,51.2584,36.1763
Elysium Cerberus Phlegra 2    ,14,4,107,2018 JUL 23 08:20:12,2018 JUL 23 08:37:17,52.8083,133.9402,4.1528,151.4876,68.0048,33.4131
Elysium Cerberus Phlegra 2    ,15,1,119,2018 JUL 24 07:54:20,2018 JUL 24 08:03:28,52.8083,146.5007,27.247,158.4639,68.0529,45.4503
Elysium Cerberus Phlegra 2    ,16,1,120,2018 JUL 24 10:04:26,2018 JUL 24 10:09:19,18.3869,131.8639,4.1528,135.0764,38.701,30.573
Elysium Cerberus Phlegra 2    ,17,4,132,2018 JUL 25 09:27:17,2018 JUL 25 09:43:29,50.3883,131.8639,4.1528,147.6203,65.8354,28.1284
Elysium Cerberus Phlegra 2    ,18,4,144,2018 JUL 26 09:00:30,2018 JUL 26 09:14:54,52.8083,142.6393,12.0264,158.4639,68.5635,31.1611
Elysium Cerberus Phlegra 2    ,19,4,156,2018 JUL 27 08:34:39,2018 JUL 27 08:36:23,52.8083,155.2029,48.1183,158.4639,69.003,64.0961
Elysium Cerberus Phlegra 2    ,20,3,157,2018 JUL 27 10:35:49,2018 JUL 27 10:49:38,43.857,131.8639,4.1528,143.7644,59.7649,23.827
Elysium Cerberus Phlegra 2    ,21,4,169,2018 JUL 28 10:06:40,2018 JUL 28 10:23:45,52.8083,138.7773,4.1528,156.3236,69.6216,22.2848
Elysium Cerberus Phlegra 2    ,22,4,181,2018 JUL 29 09:40:48,2018 JUL 29 09:45:12,52.8083,151.338,40.7218,158.4639,70.3161,57.3795
Elysium Cerberus Phlegra 2    ,23,1,182,2018 JUL 29 11:45:11,2018 JUL 29 11:55:47,34.8186,131.8639,4.1528,139.9078,51.2816,21.1149
Elysium Cerberus Phlegra 2    ,24,1,194,2018 JUL 30 11:12:51,2018 JUL 30 11:29:56,52.8083,134.907,4.1528,152.4546,71.2048,20.5764
Elysium Cerberus Phlegra 2    ,25,1,206,2018 JUL 31 10:46:59,2018 JUL 31 10:55:02,52.8083,147.467,30.407,158.4639,72.1391,47.9476
Elysium Cerberus Phlegra 2    ,26,4,207,2018 JUL 31 12:55:46,2018 JUL 31 13:01:58,22.1913,131.8639,4.1528,136.0421,39.3688,20.6272
Elysium Cerberus Phlegra 2    ,27,4,219,2018 AUG 01 12:19:27,2018 AUG 01 12:36:08,51.7348,131.8639,4.1528,148.5851,72.0706,21.2553
Elysium Cerberus Phlegra 2    ,28,1,231,2018 AUG 02 11:53:10,2018 AUG 02 12:06:08,52.8083,143.6035,16.1948,158.4639,74.4325,35.0751
Elysium Cerberus Phlegra 2    ,29,1,232,2018 AUG 02 14:07:38,2018 AUG 02 14:08:09,5.6226,131.8639,4.1528,132.1783,24.0536,22.5087
Elysium Cerberus Phlegra 2    ,30,1,243,2018 AUG 03 11:27:19,2018 AUG 03 11:28:30,52.8083,156.1669,49.629,158.4639,75.6836,72.141
Elysium Cerberus Phlegra 2    ,31,4,244,2018 AUG 03 13:27:49,2018 AUG 03 13:42:18,45.6848,131.8639,4.1528,144.7269,67.9311,24.1171
Elysium Cerberus Phlegra 2    ,32,4,256,2018 AUG 04 12:59:19,2018 AUG 04 13:16:25,52.8083,139.7431,4.1528,157.2887,77.1536,26.0729
Elysium Cerberus Phlegra 2    ,33,4,268,2018 AUG 05 12:33:28,2018 AUG 05 12:37:07,52.8083,152.3047,42.801,158.4639,78.5936,67.775
Elysium Cerberus Phlegra 2    ,34,1,269,2018 AUG 05 14:36:56,2018 AUG 05 14:48:26,37.3702,131.8639,4.1528,140.8721,62.1902,28.5085
Elysium Cerberus Phlegra 2    ,35,1,281,2018 AUG 06 14:05:30,2018 AUG 06 14:22:35,52.8083,135.8741,4.1528,153.4217,80.256,30.9775
Elysium Cerberus Phlegra 2    ,36,1,293,2018 AUG 07 13:39:38,2018 AUG 07 13:46:39,52.8083,148.4337,33.318,158.4639,81.8616,61.688
Elysium Cerberus Phlegra 2    ,37,4,294,2018 AUG 07 15:47:12,2018 AUG 07 15:54:37,25.7335,131.8639,4.1528,137.0082,54.3047,33.8378
Elysium Cerberus Phlegra 2    ,38,1,306,2018 AUG 08 15:11:42,2018 AUG 08 15:28:47,52.8083,132.0066,4.1528,149.5509,83.6884,36.6128
Elysium Cerberus Phlegra 2    ,39,1,318,2018 AUG 09 14:45:49,2018 AUG 09 14:57:26,52.8083,144.5677,20.1326,158.4639,85.4375,53.5915
Elysium Cerberus Phlegra 2    ,40,17,319,2018 AUG 09 16:58:47,2018 AUG 09 17:00:48,10.0543,131.8639,4.1528,133.1428,44.7471,39.7274
Elysium Cerberus Phlegra 2    ,41,1,330,2018 AUG 10 14:19:58,2018 AUG 10 14:20:38,52.8083,157.1304,51.0302,158.4639,87.244,85.4496
Elysium Cerberus Phlegra 2    ,42,4,331,2018 AUG 10 16:19:52,2018 AUG 10 16:34:57,47.3727,131.8639,4.1528,145.6897,81.9817,42.6856
Olympica Fossae-Jovis Tholus  ,1,1,29,2018 JUL 16 23:17:52,2018 JUL 16 23:19:59,25.5555,-115.0851,19.4318,-113.475,57.4989,55.5449
Olympica Fossae-Jovis Tholus  ,2,4,54,2018 JUL 19 00:24:02,2018 JUL 19 00:27:22,25.5555,-118.9415,15.9,-116.4799,52.9521,49.0829
Olympica Fossae-Jovis Tholus  ,3,3,116,2018 JUL 24 02:10:32,2018 JUL 24 02:11:21,25.5555,-114.1212,23.1873,-113.475,44.4293,42.6512
Olympica Fossae-Jovis Tholus  ,4,1,141,2018 JUL 26 03:16:42,2018 JUL 26 03:20:02,25.5555,-117.9788,15.9,-115.5174,42.5228,34.4718
Olympica Fossae-Jovis Tholus  ,5,1,228,2018 AUG 02 06:09:21,2018 AUG 02 06:12:41,25.5555,-117.0158,15.9,-114.5544,44.6402,34.4351
Olympica Fossae-Jovis Tholus  ,6,3,253,2018 AUG 04 07:17:41,2018 AUG 04 07:18:50,19.2536,-119.2167,15.9,-118.4092,41.0356,37.5624
Olympica Fossae-Jovis Tholus  ,7,1,315,2018 AUG 09 09:02:01,2018 AUG 09 09:05:21,25.5555,-116.0524,15.9,-113.591,58.0178,49.0391
Olympica Fossae-Jovis Tholus  ,8,4,340,2018 AUG 11 10:09:02,2018 AUG 11 10:11:30,23.0183,-119.2167,15.9,-117.4461,60.8274,54.5988
Ceraunius Fossae              ,1,4,4,2018 JUL 14 22:09:27,2018 JUL 14 22:14:55,31.9924,-113.1778,16.2445,-108.843,64.3173,60.5433
Ceraunius Fossae              ,2,1,16,2018 JUL 15 21:42:42,2018 JUL 15 21:46:02,34.7083,-101.5995,25.1254,-98.5861,63.2072,59.8961
Ceraunius Fossae              ,3,1,29,2018 JUL 16 23:20:25,2018 JUL 16 23:21:05,18.2211,-113.1778,16.2445,-112.7045,55.2126,54.7104
Ceraunius Fossae              ,4,1,41,2018 JUL 17 22:48:52,2018 JUL 17 22:55:17,34.7083,-105.4542,16.2445,-100.1789,59.4257,52.0059
Ceraunius Fossae              ,5,4,66,2018 JUL 19 23:55:01,2018 JUL 20 00:01:25,34.7083,-109.2988,16.2445,-104.0272,56.1913,46.6938
Ceraunius Fossae              ,6,4,91,2018 JUL 22 01:01:10,2018 JUL 22 01:07:34,34.7083,-113.149,16.2445,-107.8796,53.609,41.9018
Ceraunius Fossae              ,7,17,103,2018 JUL 23 00:35:21,2018 JUL 23 00:37:32,34.7083,-100.635,28.4636,-98.5861,52.6237,47.8814
Ceraunius Fossae              ,8,3,116,2018 JUL 24 02:11:45,2018 JUL 24 02:13:45,22.0575,-113.1778,16.2445,-111.7406,41.8247,37.8317
Ceraunius Fossae              ,9,3,128,2018 JUL 25 01:41:32,2018 JUL 25 01:47:56,34.7083,-104.4928,16.2445,-99.2169,51.2006,36.201
Ceraunius Fossae              ,10,4,153,2018 JUL 27 02:47:41,2018 JUL 27 02:54:05,34.7083,-108.3387,16.2445,-103.0664,50.6552,33.6873
Ceraunius Fossae              ,11,1,178,2018 JUL 29 03:53:49,2018 JUL 29 04:00:14,34.7083,-112.186,16.2445,-106.9165,51.0187,32.5511
Ceraunius Fossae              ,12,3,190,2018 JUL 30 03:28:00,2018 JUL 30 03:29:07,34.7083,-99.6699,31.5436,-98.5861,51.5168,48.2189
Ceraunius Fossae              ,13,1,203,2018 JUL 31 05:03:10,2018 JUL 31 05:06:24,25.6308,-113.1778,16.2445,-110.7761,42.7199,32.9377
Ceraunius Fossae              ,14,4,215,2018 AUG 01 04:34:11,2018 AUG 01 04:40:07,34.7083,-103.5303,17.6373,-98.5861,53.188,35.126
Ceraunius Fossae              ,15,1,240,2018 AUG 03 05:40:20,2018 AUG 03 05:46:45,34.7083,-107.3785,16.2445,-102.1055,55.6512,36.1604
Ceraunius Fossae              ,16,4,265,2018 AUG 05 06:46:29,2018 AUG 05 06:52:53,34.7083,-111.2238,16.2445,-105.9538,58.8088,39.7845
Ceraunius Fossae              ,17,3,277,2018 AUG 06 06:20:39,2018 AUG 06 06:20:46,34.7083,-98.7045,34.3769,-98.5861,60.5535,60.2119
Ceraunius Fossae              ,18,1,290,2018 AUG 07 07:54:40,2018 AUG 07 07:59:03,28.9367,-113.1778,16.2445,-109.8113,56.7498,44.2589
Ceraunius Fossae              ,19,1,302,2018 AUG 08 07:26:50,2018 AUG 08 07:31:26,34.7083,-102.567,21.506,-98.5861,64.5526,51.6497
Ceraunius Fossae              ,20,1,327,2018 AUG 10 08:33:00,2018 AUG 10 08:39:25,34.7083,-106.4182,16.2445,-101.1442,68.9945,51.9758
Claritas Rise                 ,1,4,4,2018 JUL 14 22:29:12,2018 JUL 14 22:31:44,-25.55,-99.3472,-32.9194,-97.074,63.5947,65.9944
Claritas Rise                 ,2,1,29,2018 JUL 16 23:35:22,2018 JUL 16 23:37:54,-25.55,-103.2081,-32.9194,-100.9343,56.9892,59.787
Claritas Rise                 ,3,4,91,2018 JUL 22 01:21:51,2018 JUL 22 01:23:31,-25.55,-98.3844,-30.3916,-96.9417,40.6273,43.0903
Claritas Rise                 ,4,3,116,2018 JUL 24 02:28:02,2018 JUL 24 02:30:34,-25.55,-102.2448,-32.9194,-99.9712,34.0943,38.5358
Claritas Rise                 ,5,1,141,2018 JUL 26 03:36:13,2018 JUL 26 03:36:44,-31.4612,-104.3139,-32.9194,-103.8274,31.6409,32.7295
Claritas Rise                 ,6,1,178,2018 JUL 29 04:14:31,2018 JUL 29 04:15:05,-25.55,-97.4218,-27.2265,-96.9417,18.4825,19.8205
Claritas Rise                 ,7,1,203,2018 JUL 31 05:20:41,2018 JUL 31 05:23:13,-25.55,-101.2806,-32.9194,-99.0073,12.9937,20.2761
