Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,270,270,32875,1,0,0,0,0,2025 APR 06 15:31:46,2025 APR 06 16:42:03,2025 APR 06 15:31:56,2025 APR 06 16:41:56,2025 APR 06 15:31:56,2025 APR 06 16:42:02,-66.697,110.077,4.7453,118.4235,118.4235,1.5903e-14,68.8461,16.8061,23.6675,87.8431,87.8431,1.242e-14,37.9226,66.6657,24.9542,648.8297,671.4956,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4200,0,1,629,629,10,4206,76,965,1400002C00000000000000000000000000000000000A028009791E1E1068000102750275000A106E004C03C5
1,1,271,271,32876,1,0,0,0,0,2025 APR 06 17:39:37,2025 APR 06 18:42:39,2025 APR 06 17:39:47,2025 APR 06 18:34:02,2025 APR 06 17:39:47,2025 APR 06 18:42:38,-71.4314,174.7324,11.1297,95.0831,95.0831,3.427e-14,62.2617,-1.005,0.43667,94.2822,94.2822,1.2722e-14,37.6816,66.7044,18.5101,581.7253,598.4632,0,0,0,0,0,0,0,0,0,0,10,640,1945,30,30,3255,0,1,629,629,10,3771,76,1145,1400002C00000000000000000000000000000000000A028007991E1E0CB7000102750275000A0EBB004C0479
3,3,272,272,32877,1,0,0,0,0,2025 APR 06 19:27:31,2025 APR 06 20:37:53,2025 APR 06 19:27:41,2025 APR 06 20:37:41,2025 APR 06 19:27:41,2025 APR 06 20:37:52,-66.6059,52.3147,4.7192,118.6003,118.6003,3.6818e-14,68.7768,-41.228,23.6244,87.8789,87.8789,2.3641e-14,37.5062,66.7371,24.9542,649.601,672.2669,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4200,0,1,629,629,10,4211,76,970,1400002C00000000000000000000000000000000000A028009791E1E1068000102750275000A1073004C03CA
1,1,273,273,32878,1,0,0,0,0,2025 APR 06 21:35:29,2025 APR 06 22:35:50,2025 APR 06 21:35:48,2025 APR 06 22:27:48,2025 APR 06 21:35:39,2025 APR 06 22:35:49,-71.3794,116.5817,11.0797,95.0968,95.0968,1.6905e-14,68.7712,-70.1473,23.61,87.8707,87.8707,2.0005e-14,37.2464,66.7759,17.5895,556.889,572.78,0,0,0,0,0,0,0,0,0,0,19,649,1894,30,30,3120,0,1,629,629,10,3610,76,816,1400002C000000000000000000000000000000000013028907661E1E0C30000102750275000A0E1A004C0330
1,1,274,274,32879,1,0,0,0,0,2025 APR 06 23:33:27,2025 APR 07 00:36:29,2025 APR 06 23:33:37,2025 APR 07 00:28:07,2025 APR 06 23:33:37,2025 APR 07 00:36:28,-71.3941,87.6928,11.0675,95.1302,95.1302,2.5444e-14,62.2132,-87.7725,0.3925,94.3411,94.3411,9.9392e-16,37.0116,66.8117,18.6124,581.7253,598.5573,0,0,0,0,0,0,0,0,0,0,10,640,1960,30,30,3270,0,1,629,629,10,3771,76,1175,1400002C00000000000000000000000000000000000A028007A81E1E0CC6000102750275000A0EBB004C0497
3,3,275,275,32880,1,0,0,0,0,2025 APR 07 01:21:24,2025 APR 07 02:31:36,2025 APR 07 01:21:34,2025 APR 07 02:31:34,2025 APR 07 01:21:34,2025 APR 07 02:31:35,-66.7194,-34.4826,4.6739,118.865,118.865,1.4662e-14,68.9499,-128.1961,23.565,87.6576,87.6576,2.9879e-14,36.8063,66.8445,24.9542,648.0584,670.7243,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4200,0,1,629,629,10,4201,76,960,1400002C00000000000000000000000000000000000A028009791E1E1068000102750275000A1069004C03C0
1,1,276,276,32881,1,0,0,0,0,2025 APR 07 03:29:16,2025 APR 07 04:32:16,2025 APR 07 03:29:26,2025 APR 07 04:23:56,2025 APR 07 03:29:26,2025 APR 07 04:32:15,-71.4089,30.2188,11.0617,95.1637,95.1637,1.9606e-14,62.1891,-145.443,0.37306,94.3645,94.3645,1.9347e-14,36.5469,66.8832,18.6124,581.4168,598.2488,0,0,0,0,0,0,0,0,0,0,10,640,1960,30,30,3270,0,1,629,629,10,3769,76,1173,1400002C00000000000000000000000000000000000A028007A81E1E0CC6000102750275000A0EB9004C0495
3,3,277,277,32882,1,0,0,0,0,2025 APR 07 05:17:08,2025 APR 07 06:27:20,2025 APR 07 05:17:18,2025 APR 07 06:27:18,2025 APR 07 05:17:18,2025 APR 07 06:27:19,-66.7284,-92.3178,4.6425,119.0566,119.0566,3.5562e-14,68.9626,173.8586,23.5264,87.6096,87.6096,1.7201e-14,36.3708,66.9159,24.9542,648.0584,670.7243,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4200,0,1,629,629,10,4201,76,960,1400002C00000000000000000000000000000000000A028009791E1E1068000102750275000A1069004C03C0
1,1,278,278,32883,1,0,0,0,0,2025 APR 07 07:25:02,2025 APR 07 08:28:04,2025 APR 07 07:25:12,2025 APR 07 08:19:42,2025 APR 07 07:25:12,2025 APR 07 08:28:04,-71.3599,-27.8297,11.0167,95.1783,95.1783,2.9194e-14,62.1672,156.4905,0.32722,94.3999,94.3999,1.6603e-14,36.1336,66.9547,18.6124,581.8796,598.7116,0,0,0,0,0,0,0,0,0,0,10,640,1960,30,30,3270,0,1,629,629,10,3772,76,1176,1400002C00000000000000000000000000000000000A028007A81E1E0CC6000102750275000A0EBC004C0498
3,3,279,279,32884,1,0,0,0,0,2025 APR 07 09:12:59,2025 APR 07 10:26:01,2025 APR 07 09:13:09,2025 APR 07 10:25:54,2025 APR 07 09:13:09,2025 APR 07 10:26:00,-66.7058,-150.0549,4.6197,119.2044,119.2044,2.915e-14,62.1704,127.5135,0.30917,94.4,94.4,1.9083e-14,35.9387,66.9874,26.0794,674.283,697.984,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4371,76,860,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1113004C035C
