OBSERVATION NUMBER,TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
222,1,1,1860,1860,Dayside_Nadir,2018 APR 01 07:22:31,NONE
223,1,1,2626,2626,Dayside_Nadir,2018 APR 01 09:24:19,NONE
224,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 11:36:07,COMMENT_GOES_HERE
225,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 11:36:07,COMMENT_GOES_HERE
226,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 11:36:07,COMMENT_GOES_HERE
227,1,1,116,116,Dayside_Nadir,2018 APR 01 13:27:53,NONE
228,1,1,1779,1779,Dayside_Nadir,2018 APR 01 15:29:37,NONE
229,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 17:41:17,COMMENT_GOES_HERE
230,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 17:41:17,COMMENT_GOES_HERE
231,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 17:41:17,COMMENT_GOES_HERE
232,1,1,2364,2364,Dayside_Nadir,2018 APR 01 19:33:01,NONE
233,1,1,1029,1029,Dayside_Nadir,2018 APR 01 21:34:47,NONE
234,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 23:46:33,COMMENT_GOES_HERE
235,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 23:46:33,COMMENT_GOES_HERE
236,-1,-1,-1,-1,Dayside_Nadir,2018 APR 01 23:46:33,COMMENT_GOES_HERE
237,1,1,1837,1837,Dayside_Nadir,2018 APR 02 01:38:21,NONE
238,1,1,124,124,Dayside_Nadir,2018 APR 02 03:40:05,NONE
239,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 05:51:45,COMMENT_GOES_HERE
240,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 05:51:45,COMMENT_GOES_HERE
241,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 05:51:45,COMMENT_GOES_HERE
242,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 07:53:25,COMMENT_GOES_HERE
243,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 07:53:25,COMMENT_GOES_HERE
244,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 07:53:25,COMMENT_GOES_HERE
245,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 09:55:13,COMMENT_GOES_HERE
246,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 09:55:13,COMMENT_GOES_HERE
247,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 09:55:13,COMMENT_GOES_HERE
248,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 11:56:59,COMMENT_GOES_HERE
249,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 11:56:59,COMMENT_GOES_HERE
250,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 11:56:59,COMMENT_GOES_HERE
251,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 13:58:45,COMMENT_GOES_HERE
252,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 13:58:45,COMMENT_GOES_HERE
253,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 13:58:45,COMMENT_GOES_HERE
254,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 16:00:27,COMMENT_GOES_HERE
255,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 16:00:27,COMMENT_GOES_HERE
256,-1,-1,-1,-1,Dayside_Nadir,2018 APR 02 16:00:27,COMMENT_GOES_HERE
257,1,1,1934,1934,Dayside_Nadir,2018 APR 02 17:52:09,NONE
258,1,1,1107,1107,Dayside_Nadir,2018 APR 02 19:53:49,NONE
259,1,1,2318,2318,Dayside_Nadir,2018 APR 02 21:55:35,NONE
260,1,1,144,144,Dayside_Nadir,2018 APR 02 23:57:21,NONE
261,1,1,1090,1090,Dayside_Nadir,2018 APR 03 01:59:07,NONE
262,1,1,2639,2639,Dayside_Nadir,2018 APR 03 04:00:51,NONE
263,1,1,140,140,Dayside_Nadir,2018 APR 03 06:02:29,NONE
264,1,1,104,104,Dayside_Nadir,2018 APR 03 08:04:11,NONE
