MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 JUN 09 10:41:24,2020 JUN 09 10:46:24,291,291
2020 JUN 09 14:28:52,2020 JUN 09 14:33:52,293,293
2020 JUN 09 20:28:48,2020 JUN 09 20:33:48,296,296
2020 JUN 10 02:22:19,2020 JUN 10 02:27:19,299,299
2020 JUN 10 04:14:51,2020 JUN 10 04:19:51,300,300
2020 JUN 11 01:55:23,2020 JUN 11 02:00:23,311,311
2020 JUN 11 07:39:24,2020 JUN 11 07:44:24,314,314
2020 JUN 12 07:11:33,2020 JUN 12 07:16:33,326,326
2020 JUN 12 13:01:29,2020 JUN 12 13:06:29,329,329
2020 JUN 12 14:55:54,2020 JUN 12 15:00:54,330,330
2020 JUN 12 19:09:50,2020 JUN 12 19:14:50,332,332
