Orbit Index	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
6	2018 DEC 01 23:50:20	2018 DEC 02 00:20:06	2018 DEC 02 00:49:51	3570.8	-163.3	-114.7	2.1	-12.1	69.5	11.9	129.1	22.1	1	-	-	-		
6	2018 DEC 02 00:49:51	2018 DEC 02 01:19:06	2018 DEC 02 01:48:21	3510.4	2.1	50.7	167.8	11.9	-69.5	-11.7	50.9	10.0	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
7	2018 DEC 02 01:48:21	2018 DEC 02 02:18:07	2018 DEC 02 02:47:53	3571.4	167.8	-142.6	-26.7	-11.7	69.8	11.5	129.0	22.1	4	-	-	-		
7	2018 DEC 02 02:47:53	2018 DEC 02 03:17:08	2018 DEC 02 03:46:23	3510.4	-26.7	22.6	138.9	11.5	-69.7	-11.3	51.0	10.1	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
8	2018 DEC 02 03:46:23	2018 DEC 02 04:16:08	2018 DEC 02 04:45:53	3569.9	138.9	-170.6	-55.6	-11.3	70.0	11.1	128.9	22.2	3	-	-	-		
8	2018 DEC 02 04:45:53	2018 DEC 02 05:15:08	2018 DEC 02 05:44:23	3510.2	-55.6	-5.6	110.1	11.1	-70.0	-10.9	51.1	10.1	3	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 78: NADIR: Full Frame (57:240;0:1047),Tint = 7000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
9	2018 DEC 02 05:44:23	2018 DEC 02 06:14:07	2018 DEC 02 06:43:51	3567.5	110.1	161.3	-84.5	-10.9	70.3	10.7	128.8	22.2	1	-	-	-		
9	2018 DEC 02 06:43:51	2018 DEC 02 07:13:05	2018 DEC 02 07:42:20	3509.0	-84.5	-33.6	81.2	10.7	-70.2	-10.5	51.2	10.2	1	CH4 3SUBD 01	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
10	2018 DEC 02 07:42:20	2018 DEC 02 08:12:03	2018 DEC 02 08:41:47	3566.9	81.2	133.3	-113.3	-10.5	70.5	10.3	128.7	22.2	4	-	-	-		
10	2018 DEC 02 08:41:47	2018 DEC 02 09:11:01	2018 DEC 02 09:40:15	3507.9	-113.3	-61.5	52.4	10.3	-70.4	-10.1	51.3	10.2	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
