UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 05 19:09:20,-105.5,-45.7,17:50:32,46.4,122.5,79.1,26945.9
2017 MAR 05 19:09:30,-105.4,-45.8,17:51:07,46.3,122.5,79.1,26937.8
2017 MAR 05 19:09:40,-105.2,-45.8,17:51:47,46.2,122.4,79.3,26929.7
2017 MAR 05 19:09:50,-105.1,-45.8,17:52:32,46.1,122.4,79.4,26921.5
2017 MAR 05 19:10:00,-104.9,-45.8,17:53:22,45.9,122.4,79.5,26913.4
2017 MAR 05 19:10:10,-104.7,-45.8,17:54:16,45.8,122.4,79.7,26905.2
2017 MAR 05 19:10:20,-104.5,-45.8,17:55:14,45.6,122.4,79.8,26897.1
2017 MAR 05 19:10:30,-104.3,-45.8,17:56:17,45.4,122.4,80.0,26889.0
2017 MAR 05 19:10:40,-104.1,-45.8,17:57:24,45.2,122.3,80.2,26880.8
2017 MAR 05 19:10:50,-103.8,-45.8,17:58:34,45.0,122.3,80.4,26872.6
2017 MAR 05 19:11:00,-103.5,-45.7,17:59:48,44.8,122.3,80.6,26864.5
2017 MAR 05 19:11:10,-103.3,-45.7,18:01:06,44.5,122.3,80.9,26856.3
2017 MAR 05 19:11:20,-103.0,-45.6,18:02:27,44.3,122.2,81.1,26848.1
2017 MAR 05 19:11:30,-102.7,-45.6,18:03:52,44.0,122.2,81.4,26840.0
2017 MAR 05 19:11:40,-102.3,-45.5,18:05:19,43.7,122.2,81.6,26831.8
2017 MAR 05 19:11:50,-102.0,-45.4,18:06:50,43.4,122.2,81.9,26823.6
2017 MAR 05 19:12:00,-101.6,-45.3,18:08:22,43.1,122.1,82.2,26815.4
2017 MAR 05 19:12:10,-101.3,-45.3,18:09:58,42.8,122.1,82.5,26807.2
2017 MAR 05 19:12:20,-100.9,-45.2,18:11:35,42.5,122.1,82.8,26799.0
2017 MAR 05 19:12:30,-100.6,-45.1,18:13:15,42.1,122.0,83.1,26790.8
2017 MAR 05 19:12:40,-100.2,-44.9,18:14:57,41.8,122.0,83.4,26782.6
