Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	407	Grazing	2018 MAY 09 16:20:57	2018 MAY 09 16:46:51	-	1554.0	97.2	-16.9	17.9	
N/A	408	Grazing	2018 MAY 09 18:19:06	2018 MAY 09 18:44:33	-	1527.0	68.5	-16.4	17.9	
N/A	409	Grazing	2018 MAY 09 20:17:19	2018 MAY 09 20:42:12	-	1493.0	39.8	-15.2	17.9	
N/A	410	Grazing	2018 MAY 09 22:15:40	2018 MAY 09 22:40:02	-	1462.0	11.1	-13.7	18.0	
N/A	411	Grazing	2018 MAY 10 00:14:03	2018 MAY 10 00:37:55	-	1432.0	-17.6	-12.4	18.0	
N/A	412	Grazing	2018 MAY 10 02:12:26	2018 MAY 10 02:35:38	-	1392.0	-46.3	-11.6	18.0	
N/A	413	Grazing	2018 MAY 10 04:10:46	2018 MAY 10 04:33:16	-	1350.0	-75.0	-10.6	18.0	
N/A	414	Grazing	2018 MAY 10 06:09:03	2018 MAY 10 06:30:55	-	1312.0	-103.7	-9.6	18.0	
N/A	415	Grazing	2018 MAY 10 08:07:19	2018 MAY 10 08:28:42	-	1283.0	-132.4	-8.5	18.0	
N/A	416	Grazing	2018 MAY 10 10:05:43	2018 MAY 10 10:26:24	-	1241.0	-161.1	-7.0	18.0	
N/A	417	Grazing	2018 MAY 10 12:04:08	2018 MAY 10 12:24:05	-	1197.0	170.2	-5.6	18.0	
N/A	418	Grazing	2018 MAY 10 14:02:31	2018 MAY 10 14:21:49	-	1158.0	141.5	-4.7	18.0	
N/A	419	Grazing	2018 MAY 10 16:00:51	2018 MAY 10 16:19:36	-	1125.0	112.8	-3.9	18.0	
N/A	420	Grazing	2018 MAY 10 17:59:12	2018 MAY 10 18:17:15	-	1083.0	84.1	-3.0	18.0	
N/A	421	Grazing	2018 MAY 10 19:57:39	2018 MAY 10 20:14:42	-	1023.0	55.4	-1.8	18.0	
