Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
342	291	145	Egress	SO_O	UVIS_O	2018 MAY 03 15:10:25	2018 MAY 03 15:20:35	2018 MAY 03 15:27:39	2018 MAY 03 15:10:35	2018 MAY 03 15:20:35	2018 MAY 03 15:22:12	2018 MAY 03 15:27:39	Same	Same	Same	Same	Same	Same	424.0	424.0	424.0	424.0	1	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	
343	145	145	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 03 15:34:39	2018 MAY 03 15:34:49	2018 MAY 03 16:37:37	2018 MAY 03 15:34:49	2018 MAY 03 15:44:49	-	2018 MAY 03 16:24:49	Same	Same	2018 MAY 03 16:32:53	2018 MAY 03 15:38:29	2018 MAY 03 15:48:29	2018 MAY 03 16:23:57	2400.0	3768.0	2128.0	3484.000000357628	1	1107	1107	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
344	292	146	Ingress	SO_O	UVIS_O	2018 MAY 03 16:32:58	2018 MAY 03 16:43:08	2018 MAY 03 16:50:40	2018 MAY 03 16:33:08	2018 MAY 03 16:43:08	2018 MAY 03 16:49:00	2018 MAY 03 16:50:40	Same	Same	Same	Same	Same	Same	452.0	452.0	452.0	452.0	1	1177	1177	Science: orders #168, #134, #124, #129, #190, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
345	293	146	Egress	SO_O	UVIS_O	2018 MAY 03 17:08:08	2018 MAY 03 17:18:18	2018 MAY 03 17:25:25	2018 MAY 03 17:08:18	2018 MAY 03 17:18:18	2018 MAY 03 17:19:56	2018 MAY 03 17:25:25	Same	Same	Same	Same	Same	Same	427.0	427.0	427.0	427.0	1	1177	1177	Science: orders #168, #134, #124, #129, #190, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
346	146	146	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 03 17:32:29	2018 MAY 03 17:32:39	2018 MAY 03 18:35:31	2018 MAY 03 17:32:39	2018 MAY 03 17:42:39	-	2018 MAY 03 18:22:39	Same	Same	Same	2018 MAY 03 17:36:25	2018 MAY 03 17:46:25	2018 MAY 03 18:21:46	2400.0	3772.0	2121.0	3772.0	1	1837	1837	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
347	147	147	Dayside_Nadir	OFF	UVIS_1	2018 MAY 03 19:30:25	2018 MAY 03 19:30:35	2018 MAY 03 20:33:27	-	-	-	-	Same	Same	Same	-	-	-	-	3772.0	-	3772.0	-	-	-	-	-	
348	147	147	Dayside_Nadir	OFF	UVIS_2	2018 MAY 03 19:30:25	2018 MAY 03 19:30:35	2018 MAY 03 20:33:27	-	-	-	-	Same	Same	Same	-	-	-	-	3772.0	-	3772.0	-	-	-	-	-	
349	147	147	Dayside_Nadir	OFF	UVIS_3	2018 MAY 03 19:30:25	2018 MAY 03 19:30:35	2018 MAY 03 20:33:27	-	-	-	-	Same	Same	Same	-	-	-	-	3772.0	-	3772.0	-	-	-	-	-	
350	148	148	Dayside_Nadir	LNO_L	UVIS_L	2018 MAY 03 21:18:21	2018 MAY 03 21:18:31	2018 MAY 03 22:31:23	2018 MAY 03 21:18:31	2018 MAY 03 21:28:31	-	2018 MAY 03 22:31:23	Same	Same	Same	Same	Same	Same	3772.0	4372.0	3772.0	4372.0	1	1033	1033	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
351	149	149	Dayside_Nadir	OFF	UVIS_1	2018 MAY 03 23:26:19	2018 MAY 03 23:26:29	2018 MAY 04 00:29:19	-	-	-	-	Same	Same	2018 MAY 04 00:24:51	-	-	-	-	3770.0	-	3502.000000357628	-	-	-	-	-	
