Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
NOMAD	294	Ingress	2019 MAR 07 15:42:30	2019 MAR 07 15:49:11	2019 MAR 07 15:47:42	401.0	160.7	-48.3	18.3	
NOMAD	295	Egress	2019 MAR 07 16:20:12	2019 MAR 07 16:26:31	2019 MAR 07 16:21:39	379.0	114.4	83.7	15.8	
N/A	296	Ingress	2019 MAR 07 17:40:29	2019 MAR 07 17:47:12	2019 MAR 07 17:45:42	403.0	131.9	-47.9	18.3	
ACS	297	Egress	2019 MAR 07 18:18:03	2019 MAR 07 18:24:24	2019 MAR 07 18:19:31	381.0	86.9	83.5	15.9	
N/A	298	Ingress	2019 MAR 07 19:38:27	2019 MAR 07 19:45:13	2019 MAR 07 19:43:43	406.0	103.2	-48.0	18.3	
N/A	299	Egress	2019 MAR 07 20:15:55	2019 MAR 07 20:22:19	2019 MAR 07 20:17:23	384.0	59.1	83.4	15.9	
NOMAD	300	Ingress	2019 MAR 07 21:36:23	2019 MAR 07 21:43:11	2019 MAR 07 21:41:41	408.0	74.4	-47.7	18.2	
NOMAD	301	Egress	2019 MAR 07 22:13:44	2019 MAR 07 22:20:11	2019 MAR 07 22:15:12	387.0	31.5	83.2	16.0	
N/A	302	Ingress	2019 MAR 07 23:34:15	2019 MAR 07 23:41:06	2019 MAR 07 23:39:35	411.0	45.7	-47.6	18.2	
ACS	303	Egress	2019 MAR 08 00:11:29	2019 MAR 08 00:17:58	2019 MAR 08 00:12:58	389.0	4.2	82.9	16.1	
N/A	304	Ingress	2019 MAR 08 01:32:09	2019 MAR 08 01:39:02	2019 MAR 08 01:37:31	413.0	17.0	-47.4	18.2	
N/A	305	Egress	2019 MAR 08 02:09:16	2019 MAR 08 02:15:47	2019 MAR 08 02:10:45	391.0	-23.7	82.8	16.2	
NOMAD	306	Ingress	2019 MAR 08 03:30:09	2019 MAR 08 03:37:05	2019 MAR 08 03:35:33	416.0	-11.8	-47.0	18.2	
NOMAD	307	Egress	2019 MAR 08 04:07:08	2019 MAR 08 04:13:42	2019 MAR 08 04:08:38	394.0	-51.9	82.7	16.2	
NOMAD	308	Ingress	2019 MAR 08 05:28:11	2019 MAR 08 05:35:08	2019 MAR 08 05:33:35	417.0	-40.7	-46.3	18.2	
NOMAD	309	Egress	2019 MAR 08 06:05:01	2019 MAR 08 06:11:37	2019 MAR 08 06:06:32	396.0	-79.9	82.6	16.2	
N/A	310	Ingress	2019 MAR 08 07:26:09	2019 MAR 08 07:33:09	2019 MAR 08 07:31:36	420.0	-69.4	-46.3	18.2	
ACS	311	Egress	2019 MAR 08 08:02:50	2019 MAR 08 08:09:29	2019 MAR 08 08:04:22	399.0	-107.3	82.3	16.3	
NOMAD	312	Ingress	2019 MAR 08 09:24:04	2019 MAR 08 09:31:08	2019 MAR 08 09:29:34	424.0	-98.1	-45.9	18.2	
NOMAD	313	Egress	2019 MAR 08 10:00:37	2019 MAR 08 10:07:19	2019 MAR 08 10:02:09	402.0	-134.8	82.0	16.4	
N/A	314	Ingress	2019 MAR 08 11:21:57	2019 MAR 08 11:29:04	2019 MAR 08 11:27:30	427.0	-126.8	-45.8	18.2	
ACS	315	Egress	2019 MAR 08 11:58:23	2019 MAR 08 12:05:09	2019 MAR 08 11:59:56	406.0	-162.7	81.8	16.5	
N/A	316	Ingress	2019 MAR 08 13:19:52	2019 MAR 08 13:27:02	2019 MAR 08 13:25:26	430.0	-155.5	-45.7	18.2	
N/A	317	Egress	2019 MAR 08 13:56:11	2019 MAR 08 14:02:59	2019 MAR 08 13:57:44	408.0	169.1	81.7	16.5	
NOMAD	318	Ingress	2019 MAR 08 15:17:50	2019 MAR 08 15:25:02	2019 MAR 08 15:23:26	432.0	175.7	-45.2	18.2	
NOMAD	319	Egress	2019 MAR 08 15:54:00	2019 MAR 08 16:00:50	2019 MAR 08 15:55:33	410.0	141.0	81.5	16.5	
N/A	320	Ingress	2019 MAR 08 17:15:49	2019 MAR 08 17:23:04	2019 MAR 08 17:21:28	435.0	146.9	-44.8	18.2	
ACS	321	Egress	2019 MAR 08 17:51:50	2019 MAR 08 17:58:42	2019 MAR 08 17:53:24	412.0	113.1	81.3	16.6	
N/A	322	Ingress	2019 MAR 08 19:13:48	2019 MAR 08 19:21:06	2019 MAR 08 19:19:30	438.0	118.1	-44.5	18.2	
N/A	323	Egress	2019 MAR 08 19:49:41	2019 MAR 08 19:56:36	2019 MAR 08 19:51:15	415.0	85.0	81.1	16.6	
NOMAD	324	Ingress	2019 MAR 08 21:11:46	2019 MAR 08 21:19:07	2019 MAR 08 21:17:30	441.0	89.3	-44.2	18.2	
NOMAD	325	Egress	2019 MAR 08 21:47:30	2019 MAR 08 21:54:29	2019 MAR 08 21:49:06	419.0	57.1	80.9	16.7	
NOMAD	326	Ingress	2019 MAR 08 23:09:40	2019 MAR 08 23:17:05	2019 MAR 08 23:15:27	445.0	60.6	-44.1	18.2	
NOMAD	327	Egress	2019 MAR 08 23:45:16	2019 MAR 08 23:52:18	2019 MAR 08 23:46:53	422.0	29.1	80.6	16.7	
N/A	328	Ingress	2019 MAR 09 01:07:33	2019 MAR 09 01:15:01	2019 MAR 09 01:13:22	448.0	31.9	-43.9	18.2	
N/A	329	Egress	2019 MAR 09 01:43:00	2019 MAR 09 01:50:05	2019 MAR 09 01:44:37	425.0	1.2	80.3	16.8	
N/A	330	Ingress	2019 MAR 09 03:05:32	2019 MAR 09 03:13:03	2019 MAR 09 03:11:23	451.0	3.2	-43.4	18.2	
ACS	331	Egress	2019 MAR 09 03:40:50	2019 MAR 09 03:47:57	2019 MAR 09 03:42:27	427.0	-27.2	80.2	16.8	
NOMAD	332	Ingress	2019 MAR 09 05:03:35	2019 MAR 09 05:11:08	2019 MAR 09 05:09:28	453.0	-25.6	-43.0	18.2	
NOMAD	333	Egress	2019 MAR 09 05:38:42	2019 MAR 09 05:45:53	2019 MAR 09 05:40:21	431.0	-55.4	80.0	16.8	
N/A	334	Ingress	2019 MAR 09 07:01:36	2019 MAR 09 07:09:12	2019 MAR 09 07:07:31	456.0	-54.4	-42.7	18.2	
ACS	335	Egress	2019 MAR 09 07:36:32	2019 MAR 09 07:43:47	2019 MAR 09 07:38:12	435.0	-83.5	79.7	16.8	
NOMAD	336	Ingress	2019 MAR 09 08:59:34	2019 MAR 09 09:07:14	2019 MAR 09 09:05:32	460.0	-83.2	-42.3	18.2	
NOMAD	337	Egress	2019 MAR 09 09:34:19	2019 MAR 09 09:41:38	2019 MAR 09 09:35:59	439.0	-111.4	79.4	16.9	
NOMAD	338	Ingress	2019 MAR 09 10:57:28	2019 MAR 09 11:05:14	2019 MAR 09 11:03:31	466.0	-111.9	-42.2	18.2	
NOMAD	339	Egress	2019 MAR 09 11:32:04	2019 MAR 09 11:39:27	2019 MAR 09 11:33:45	443.0	-139.4	79.0	16.9	
N/A	340	Ingress	2019 MAR 09 12:55:23	2019 MAR 09 13:03:12	2019 MAR 09 13:01:28	469.0	-140.6	-41.7	18.2	
N/A	341	Egress	2019 MAR 09 13:29:51	2019 MAR 09 13:37:17	2019 MAR 09 13:31:33	446.0	-167.8	78.9	17.0	
N/A	342	Ingress	2019 MAR 09 14:53:22	2019 MAR 09 15:01:13	2019 MAR 09 14:59:29	471.0	-169.4	-41.2	18.2	
N/A	343	Egress	2019 MAR 09 15:27:39	2019 MAR 09 15:35:09	2019 MAR 09 15:29:21	450.0	163.9	78.7	17.0	
N/A	344	Ingress	2019 MAR 09 16:51:23	2019 MAR 09 16:59:17	2019 MAR 09 16:57:32	474.0	161.8	-40.7	18.2	
ACS	345	Egress	2019 MAR 09 17:25:27	2019 MAR 09 17:33:00	2019 MAR 09 17:27:11	453.0	135.8	78.4	17.0	
NOMAD	346	Ingress	2019 MAR 09 18:49:23	2019 MAR 09 18:57:22	2019 MAR 09 18:55:36	479.0	133.1	-40.8	18.2	
NOMAD	347	Egress	2019 MAR 09 19:23:17	2019 MAR 09 19:30:53	2019 MAR 09 19:25:01	456.0	107.5	78.1	17.0	
N/A	348	Ingress	2019 MAR 09 20:47:23	2019 MAR 09 20:55:26	2019 MAR 09 20:53:39	483.0	104.4	-40.5	18.2	
ACS	349	Egress	2019 MAR 09 21:21:07	2019 MAR 09 21:28:48	2019 MAR 09 21:22:52	461.0	79.3	77.9	17.1	
NOMAD	350	Ingress	2019 MAR 09 22:45:19	2019 MAR 09 22:53:27	2019 MAR 09 22:51:39	488.0	75.6	-40.1	18.2	
NOMAD	351	Egress	2019 MAR 09 23:18:54	2019 MAR 09 23:26:39	2019 MAR 09 23:20:40	465.0	51.0	77.6	17.1	
N/A	352	Ingress	2019 MAR 10 00:43:13	2019 MAR 10 00:51:26	2019 MAR 10 00:49:37	493.0	46.9	-40.0	18.2	
ACS	353	Egress	2019 MAR 10 01:16:37	2019 MAR 10 01:24:26	2019 MAR 10 01:18:24	469.0	22.9	77.2	17.1	
N/A	354	Ingress	2019 MAR 10 02:41:09	2019 MAR 10 02:49:27	2019 MAR 10 02:47:37	498.0	18.1	-39.4	18.2	
N/A	355	Egress	2019 MAR 10 03:14:22	2019 MAR 10 03:22:15	2019 MAR 10 03:16:10	473.0	-5.4	76.9	17.2	
NOMAD	356	Ingress	2019 MAR 10 04:39:13	2019 MAR 10 04:47:34	2019 MAR 10 04:45:42	501.0	-10.6	-39.0	18.2	
NOMAD	357	Egress	2019 MAR 10 05:12:13	2019 MAR 10 05:20:11	2019 MAR 10 05:14:03	478.0	-33.8	76.7	17.2	
NOMAD	358	Ingress	2019 MAR 10 06:37:17	2019 MAR 10 06:45:41	2019 MAR 10 06:43:49	504.0	-39.4	-38.6	18.2	
NOMAD	359	Egress	2019 MAR 10 07:10:04	2019 MAR 10 07:18:06	2019 MAR 10 07:11:54	482.0	-62.2	76.5	17.2	
N/A	360	Ingress	2019 MAR 10 08:35:17	2019 MAR 10 08:43:47	2019 MAR 10 08:41:54	510.0	-68.2	-38.3	18.1	
ACS	361	Egress	2019 MAR 10 09:07:50	2019 MAR 10 09:15:57	2019 MAR 10 09:09:41	487.0	-90.3	76.0	17.2	
NOMAD	362	Ingress	2019 MAR 10 10:33:14	2019 MAR 10 10:41:50	2019 MAR 10 10:39:55	516.0	-96.9	-37.8	18.1	
NOMAD	363	Egress	2019 MAR 10 11:05:33	2019 MAR 10 11:13:46	2019 MAR 10 11:07:26	493.0	-118.5	75.5	17.3	
N/A	364	Ingress	2019 MAR 10 12:31:09	2019 MAR 10 12:39:51	2019 MAR 10 12:37:55	522.0	-125.6	-37.7	18.1	
ACS	365	Egress	2019 MAR 10 13:03:17	2019 MAR 10 13:11:36	2019 MAR 10 13:05:12	499.0	-146.8	75.2	17.3	
N/A	366	Ingress	2019 MAR 10 14:29:07	2019 MAR 10 14:37:53	2019 MAR 10 14:35:56	526.0	-154.4	-37.1	18.1	
N/A	367	Egress	2019 MAR 10 15:01:03	2019 MAR 10 15:09:26	2019 MAR 10 15:02:59	503.0	-175.2	74.9	17.3	
NOMAD	368	Ingress	2019 MAR 10 16:27:08	2019 MAR 10 16:35:59	2019 MAR 10 16:34:00	531.0	176.8	-36.6	18.1	
NOMAD	369	Egress	2019 MAR 10 16:58:49	2019 MAR 10 17:07:17	2019 MAR 10 17:00:46	508.0	156.4	74.6	17.3	
NOMAD	370	Ingress	2019 MAR 10 18:25:09	2019 MAR 10 18:34:06	2019 MAR 10 18:32:06	537.0	148.1	-36.2	18.1	
NOMAD	371	Egress	2019 MAR 10 18:56:36	2019 MAR 10 19:05:09	2019 MAR 10 18:58:35	513.0	128.1	74.2	17.3	
N/A	372	Ingress	2019 MAR 10 20:23:10	2019 MAR 10 20:32:13	2019 MAR 10 20:30:11	543.0	119.3	-35.9	18.1	
ACS	373	Egress	2019 MAR 10 20:54:25	2019 MAR 10 21:03:03	2019 MAR 10 20:56:25	518.0	99.7	73.9	17.4	
