TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
14,1,1410,1410,184,Egress,2018 JUN 22 14:16:25,OBSERVATION_COMMENT
14,1,1452,1453,190,Egress,2018 JUN 22 18:12:01,OBSERVATION_COMMENT
14,1,3951,3951,196,Egress,2018 JUN 22 22:07:42,OBSERVATION_COMMENT
14,1,1452,1453,202,Egress,2018 JUN 23 02:03:13,OBSERVATION_COMMENT
14,1,1452,1453,209,Egress,2018 JUN 23 07:56:41,OBSERVATION_COMMENT
14,1,3951,3951,220,Egress,2018 JUN 23 17:45:34,OBSERVATION_COMMENT
14,1,1452,1453,226,Egress,2018 JUN 23 21:41:12,OBSERVATION_COMMENT
83,1,107,107,232,Egress,2018 JUN 24 01:36:44,OBSERVATION_COMMENT
14,1,1452,1453,238,Egress,2018 JUN 24 05:32:16,OBSERVATION_COMMENT
14,1,1176,1176,244,Egress,2018 JUN 24 09:27:54,OBSERVATION_COMMENT
14,1,1446,1446,250,Egress,2018 JUN 24 13:23:25,OBSERVATION_COMMENT
14,1,1452,1453,256,Egress,2018 JUN 24 17:18:56,OBSERVATION_COMMENT
14,1,1410,1410,262,Egress,2018 JUN 24 21:14:31,OBSERVATION_COMMENT
14,1,1452,1453,269,Egress,2018 JUN 25 03:07:44,OBSERVATION_COMMENT
14,1,3951,3951,272,Egress,2018 JUN 25 05:05:28,OBSERVATION_COMMENT
14,1,1452,1453,282,Egress,2018 JUN 25 12:56:31,OBSERVATION_COMMENT
14,1,1452,1453,288,Egress,2018 JUN 25 16:51:57,OBSERVATION_COMMENT
14,1,1175,1175,297,Egress,2018 JUN 26 00:42:57,OBSERVATION_COMMENT
14,1,1452,1453,303,Egress,2018 JUN 26 04:38:17,OBSERVATION_COMMENT
14,1,1177,1177,313,Egress,2018 JUN 26 12:29:09,OBSERVATION_COMMENT
14,1,1452,1453,316,Egress,2018 JUN 26 14:26:50,OBSERVATION_COMMENT
14,1,3951,3951,322,Egress,2018 JUN 26 18:22:11,OBSERVATION_COMMENT
14,1,1452,1453,329,Egress,2018 JUN 27 00:15:15,OBSERVATION_COMMENT
14,1,3951,3951,332,Egress,2018 JUN 27 02:12:53,OBSERVATION_COMMENT
14,1,1176,1176,338,Egress,2018 JUN 27 06:08:04,OBSERVATION_COMMENT
14,1,1453,1453,348,Egress,2018 JUN 27 13:58:26,OBSERVATION_COMMENT
14,1,1452,1453,354,Egress,2018 JUN 27 17:53:31,OBSERVATION_COMMENT
14,1,293,293,357,Egress,2018 JUN 27 19:51:00,OBSERVATION_COMMENT
14,1,1452,1453,760,Egress,2018 JUL 14 05:33:01,OBSERVATION_COMMENT
14,1,1452,1453,760,Egress,2018 JUL 14 05:33:01,OBSERVATION_COMMENT
14,1,1175,1175,766,Egress,2018 JUL 14 09:29:34,OBSERVATION_COMMENT
14,1,1175,1175,766,Egress,2018 JUL 14 09:29:34,OBSERVATION_COMMENT
